Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;A CORUÑA;91.0;94.4;94.5;93.6;78.3;80.7;38.9;31.2;64.8;99.6;100.0;100.0
% Humedad del suelo sobre la capacidad máxima;ALBACETE;36.1;30.6;73.5;81.9;38.8;14.9;6.0;5.4;8.1;10.9;17.7;46.2
% Humedad del suelo sobre la capacidad máxima;ALICANTE/ALACANT;28.4;22.3;85.7;79.2;42.9;18.6;7.7;5.7;23.5;31.2;34.6;41.8
% Humedad del suelo sobre la capacidad máxima;ALMERIA;17.5;14.1;89.6;66.3;26.9;7.4;2.4;1.6;2.1;2.4;4.7;29.1
% Humedad del suelo sobre la capacidad máxima;ARABA/ALAVA;98.5;93.2;95.6;95.6;66.3;46.1;27.1;20.5;25.4;22.5;56.4;69.7
% Humedad del suelo sobre la capacidad máxima;ASTURIAS;93.9;94.1;97.0;94.8;75.2;80.5;46.0;54.9;69.4;76.4;97.2;98.6
% Humedad del suelo sobre la capacidad máxima;AVILA;74.9;60.8;91.2;81.7;33.2;12.1;3.1;2.1;35.5;60.8;76.6;90.3
% Humedad del suelo sobre la capacidad máxima;BADAJOZ;64.6;51.1;76.5;65.3;23.3;7.7;2.0;0.9;10.1;24.7;41.1;86.7
% Humedad del suelo sobre la capacidad máxima;ILLES BALEARS;78.6;62.8;73.8;58.9;43.2;19.7;8.5;13.3;36.8;45.5;68.8;72.3
% Humedad del suelo sobre la capacidad máxima;BARCELONA;59.9;53.2;75.7;68.1;53.6;32.8;23.8;38.4;41.3;38.0;38.4;51.0
% Humedad del suelo sobre la capacidad máxima;BIZKAIA;99.3;96.3;97.2;96.2;69.7;63.8;34.1;31.3;70.1;57.1;99.6;94.4
% Humedad del suelo sobre la capacidad máxima;BURGOS;84.0;76.1;87.6;86.6;52.5;31.7;14.9;11.8;13.3;25.2;57.4;83.0
% Humedad del suelo sobre la capacidad máxima;CACERES;78.3;60.4;91.0;73.3;24.6;8.3;1.9;0.9;17.3;60.3;80.2;98.2
% Humedad del suelo sobre la capacidad máxima;CADIZ;68.1;52.7;95.5;78.7;33.9;12.7;4.0;1.9;2.8;2.9;31.0;91.6
% Humedad del suelo sobre la capacidad máxima;CANTABRIA;97.8;93.0;98.7;93.8;59.6;54.8;29.1;41.5;66.4;61.8;91.3;92.5
% Humedad del suelo sobre la capacidad máxima;CASTELLON/CASTELLÓ;44.1;38.1;95.1;86.9;57.9;31.8;19.6;11.2;19.7;27.6;69.5;70.1
% Humedad del suelo sobre la capacidad máxima;CEUTA;72.7;57.3;97.2;70.0;29.3;9.9;3.6;1.5;4.2;5.0;38.2;88.4
% Humedad del suelo sobre la capacidad máxima;CIUDAD REAL;59.0;50.9;75.6;75.1;31.4;11.1;3.4;2.0;4.5;9.2;23.9;76.6
% Humedad del suelo sobre la capacidad máxima;CORDOBA;59.6;50.5;85.2;80.0;32.6;11.2;3.5;1.9;5.1;12.4;22.5;80.7
% Humedad del suelo sobre la capacidad máxima;CUENCA;70.6;61.8;81.8;78.1;38.5;16.9;8.2;7.1;12.6;18.1;37.0;80.6
% Humedad del suelo sobre la capacidad máxima;GIPUZKOA;99.8;96.2;99.5;96.9;68.9;69.6;41.7;42.7;74.9;61.2;98.0;95.6
% Humedad del suelo sobre la capacidad máxima;GIRONA;75.0;66.0;97.8;88.5;62.9;36.2;19.9;35.5;61.9;61.8;66.0;71.0
% Humedad del suelo sobre la capacidad máxima;GRANADA;28.4;30.4;80.0;72.8;31.7;11.2;3.9;2.5;2.9;3.0;8.9;58.7
% Humedad del suelo sobre la capacidad máxima;GUADALAJARA;78.1;67.8;90.8;88.3;48.5;22.1;10.2;7.6;13.5;27.7;48.5;85.1
% Humedad del suelo sobre la capacidad máxima;HUELVA;66.6;49.7;91.6;71.2;29.0;10.6;3.3;1.5;10.2;24.9;38.8;93.3
% Humedad del suelo sobre la capacidad máxima;HUESCA;70.1;62.6;71.5;75.1;41.7;32.6;22.9;27.3;33.6;46.6;62.2;80.7
% Humedad del suelo sobre la capacidad máxima;JAEN;51.1;44.8;69.3;67.2;34.0;15.3;6.3;3.2;6.0;9.5;20.7;70.1
% Humedad del suelo sobre la capacidad máxima;LA RIOJA;81.6;72.3;81.5;81.7;50.5;27.6;15.1;13.8;14.5;18.3;39.1;54.8
% Humedad del suelo sobre la capacidad máxima;LAS PALMAS;11.2;11.8;14.5;8.9;3.7;1.9;1.0;0.8;57.5;30.4;18.3;19.6
% Humedad del suelo sobre la capacidad máxima;LEON;76.7;71.3;82.0;74.8;47.2;35.8;16.7;15.9;29.7;72.3;86.0;98.9
% Humedad del suelo sobre la capacidad máxima;LLEIDA;58.7;54.4;65.9;65.0;44.8;31.0;20.5;40.1;47.1;54.8;57.8;71.7
% Humedad del suelo sobre la capacidad máxima;LUGO;92.8;93.1;92.7;91.5;70.1;74.1;36.7;35.2;45.1;97.0;100.0;100.0
% Humedad del suelo sobre la capacidad máxima;MADRID;68.2;57.4;87.1;81.2;33.6;11.0;3.6;1.6;16.8;34.1;54.7;88.8
% Humedad del suelo sobre la capacidad máxima;MALAGA;41.5;33.1;94.9;79.4;35.8;13.0;4.4;2.1;2.5;2.8;11.5;78.3
% Humedad del suelo sobre la capacidad máxima;MELILLA;10.3;8.2;36.7;61.4;24.1;7.4;2.5;1.0;0.7;1.5;4.1;21.2
% Humedad del suelo sobre la capacidad máxima;MURCIA;20.9;16.4;86.3;74.4;38.4;15.2;5.9;4.0;11.5;15.7;16.2;19.9
% Humedad del suelo sobre la capacidad máxima;NAVARRA;89.9;81.3;84.1;82.6;49.5;32.0;19.2;19.8;27.6;27.8;58.1;72.4
% Humedad del suelo sobre la capacidad máxima;OURENSE;90.1;86.0;92.3;87.4;54.9;52.5;22.5;12.9;35.6;94.2;100.0;100.0
% Humedad del suelo sobre la capacidad máxima;PALENCIA;75.4;66.5;86.9;77.7;42.7;22.3;9.2;8.0;12.5;53.2;69.9;95.3
% Humedad del suelo sobre la capacidad máxima;PONTEVEDRA;89.8;91.7;91.1;90.8;66.4;68.5;29.7;19.5;53.2;100.0;100.0;100.0
% Humedad del suelo sobre la capacidad máxima;SALAMANCA;75.4;61.1;76.4;73.5;31.3;15.4;4.4;4.6;25.4;64.6;84.6;97.1
% Humedad del suelo sobre la capacidad máxima;SANTA CRUZ DE TENERIFE;45.2;51.8;57.1;40.7;21.1;11.9;5.4;4.8;62.5;39.9;30.6;61.5
% Humedad del suelo sobre la capacidad máxima;SEGOVIA;75.1;63.5;88.1;80.5;36.5;15.8;5.8;3.2;10.6;20.7;62.9;91.2
% Humedad del suelo sobre la capacidad máxima;SEVILLA;60.6;45.6;89.0;76.6;29.6;9.9;2.9;1.3;7.0;15.4;24.1;87.4
% Humedad del suelo sobre la capacidad máxima;SORIA;74.0;63.2;86.5;84.4;46.3;21.1;9.1;10.4;11.4;16.8;50.7;83.3
% Humedad del suelo sobre la capacidad máxima;TARRAGONA;63.8;51.6;72.8;73.9;49.2;27.8;18.2;18.9;24.1;23.1;33.4;41.9
% Humedad del suelo sobre la capacidad máxima;TERUEL;54.5;45.2;75.3;83.5;47.8;23.0;18.0;16.9;23.0;21.7;44.4;57.1
% Humedad del suelo sobre la capacidad máxima;TOLEDO;59.9;50.7;78.9;75.5;29.4;9.8;2.8;1.5;7.8;17.5;32.0;81.6
% Humedad del suelo sobre la capacidad máxima;VALENCIA/VALÈNCIA;44.1;39.4;92.8;87.1;51.5;24.6;11.5;15.1;20.6;31.8;41.7;50.9
% Humedad del suelo sobre la capacidad máxima;VALLADOLID;63.5;54.8;68.9;65.4;29.7;12.4;3.9;3.2;4.9;35.6;53.8;94.2
% Humedad del suelo sobre la capacidad máxima;ZAMORA;70.1;59.2;68.2;61.3;31.4;17.0;6.3;6.6;15.9;57.1;73.0;98.2
% Humedad del suelo sobre la capacidad máxima;ZARAGOZA;61.3;47.9;62.1;61.3;30.5;12.3;7.5;6.9;8.1;9.8;27.3;49.0
