Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PIRINEO ORIENTAL;26.4;36.2;44.8;81.3;130.0;153.2;169.8;137.0;89.2;53.4;32.1;19.7;973.1
Evapotranspiración de referencia;NORTE Y NOROESTE;21.6;28.9;48.2;66.7;99.4;96.8;134.4;107.9;72.6;53.1;26.4;20.9;776.9
Evapotranspiración de referencia;DUERO;21.3;32.2;43.1;72.9;132.5;156.2;199.1;167.4;97.6;66.0;24.4;16.7;1029.4
Evapotranspiración de referencia;TAJO;27.6;42.0;49.6;85.2;157.0;185.9;225.6;189.7;115.7;74.6;30.7;17.9;1201.5
Evapotranspiración de referencia;GUADIANA;33.4;46.6;55.5;91.6;169.4;196.2;234.5;195.1;125.0;88.3;38.0;22.9;1296.5
Evapotranspiración de referencia;GUADALQUIVIR;39.7;52.5;57.6;93.9;169.3;195.4;229.1;188.1;126.5;93.4;43.1;27.9;1316.5
Evapotranspiración de referencia;SUR;45.8;53.9;57.4;94.6;160.2;188.2;195.7;178.2;127.2;85.9;55.1;35.4;1277.6
Evapotranspiración de referencia;SEGURA;38.9;51.6;48.3;91.5;159.8;191.7;197.3;179.9;125.1;74.5;54.1;33.3;1246.0
Evapotranspiración de referencia;JÚCAR;33.0;45.3;42.9;80.9;146.1;179.9;189.5;170.0;110.3;66.7;43.8;26.4;1134.8
Evapotranspiración de referencia;EBRO;23.8;37.5;43.9;77.9;137.7;167.3;183.2;155.5;100.9;68.7;30.8;18.8;1046.0
