Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PRINCIPADO DE ASTURIAS;55.2;42.5;121.7;121.3;41.7;95.4;18.1;71.3;69.2;62.3;120.0;106.1;924.8
Precipitación;COMUNIDAD AUTÓNOMA DE BALEARES;14.8;2.0;66.2;41.0;35.7;1.7;0.4;27.1;73.1;60.3;95.7;40.2;458.2
Precipitación;COMUNIDAD AUTÓNOMA DE CANTABRIA;105.9;35.6;132.7;127.6;19.0;56.5;13.5;64.2;90.6;38.4;129.0;82.0;895.0
Precipitación;CIUDAD AUTÓNOMA DE CEUTA;30.4;16.0;219.3;81.8;2.2;0.1;0.0;0.2;9.0;9.2;67.3;177.6;613.1
Precipitación;COMUNIDAD AUTÓNOMA DE LA RIOJA;16.6;6.1;64.8;72.0;22.5;10.4;13.2;31.7;20.4;28.1;56.8;59.3;401.9
Precipitación;COMUNIDAD DE MADRID;12.7;10.3;120.4;64.1;10.2;3.1;6.3;5.4;44.6;46.6;60.3;129.9;513.9
Precipitación;CIUDAD AUTÓNOMA DE MELILLA;3.0;5.6;69.3;113.0;4.8;0.2;3.2;0.6;2.1;5.0;9.4;43.2;259.4
Precipitación;REGIÓN DE MURCIA;9.9;3.1;212.5;88.0;36.8;4.5;0.6;11.1;28.1;25.4;15.1;18.2;453.3
Precipitación;COMUNIDAD FORAL DE NAVARRA;91.5;19.2;83.7;89.3;12.1;21.9;20.5;34.0;44.0;28.9;126.8;63.1;635.0
Precipitación;COMUNIDAD AUTÓNOMA DE CANARIAS;37.0;30.8;41.9;21.2;2.8;3.8;1.6;4.6;122.5;8.6;4.7;53.4;332.9
Precipitación;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;7.3;10.9;150.1;68.4;16.1;1.0;0.1;4.2;16.7;18.8;30.7;152.7;477.0
Precipitación;COMUNIDAD AUTÓNOMA DE ARAGÓN;11.1;5.6;70.3;76.4;26.8;22.6;32.6;38.3;32.1;32.8;56.2;55.5;460.3
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;8.4;10.4;97.2;73.0;12.0;3.7;4.5;14.5;26.6;30.7;46.0;125.8;452.8
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;14.7;7.5;80.6;59.9;16.7;21.3;5.3;21.4;35.9;81.3;79.1;127.8;551.5
Precipitación;COMUNIDAD AUTÓNOMA DE CATALUÑA;12.8;8.0;93.5;59.1;39.1;22.8;25.0;78.4;59.2;32.5;28.9;38.5;497.8
Precipitación;COMUNIDAD AUTÓNOMA DE EXTREMADURA;5.4;5.8;102.3;57.3;3.8;4.8;0.1;1.2;40.6;71.8;66.7;231.3;591.1
Precipitación;COMUNIDAD AUTÓNOMA DE GALICIA;53.0;40.6;113.3;78.3;41.1;79.7;8.9;26.5;77.8;216.3;228.3;293.1;1256.9
Precipitación;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;129.2;35.9;108.7;122.2;25.9;48.5;14.0;39.2;74.7;21.3;162.4;58.6;840.6
Precipitación;COMUNITAT VALENCIANA;8.1;8.5;272.8;97.2;55.6;9.5;9.1;22.5;42.6;45.4;65.3;35.2;671.8
