Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PIRINEO ORIENTAL;64.7;56.7;82.4;75.4;56.3;33.5;21.8;35.1;47.8;45.8;46.9;56.5
% Humedad del suelo sobre la capacidad máxima;NORTE Y NOROESTE;93.1;92.6;94.7;91.9;68.0;69.0;35.1;35.3;56.8;84.8;98.5;98.5
% Humedad del suelo sobre la capacidad máxima;DUERO;72.7;62.5;79.4;74.0;37.9;19.9;7.7;6.7;16.4;46.1;69.5;94.5
% Humedad del suelo sobre la capacidad máxima;TAJO;74.2;61.4;89.5;80.8;34.0;13.1;4.7;3.0;17.0;42.4;60.6;91.7
% Humedad del suelo sobre la capacidad máxima;GUADIANA;61.6;50.6;77.6;69.9;27.3;9.3;2.7;1.5;7.2;17.6;33.7;81.4
% Humedad del suelo sobre la capacidad máxima;GUADALQUIVIR;54.6;44.8;83.3;75.0;32.0;11.9;4.0;2.1;5.5;10.8;22.2;77.4
% Humedad del suelo sobre la capacidad máxima;SUR;30.9;26.4;89.1;70.9;31.1;10.0;3.4;1.7;2.3;2.6;8.9;59.1
% Humedad del suelo sobre la capacidad máxima;SEGURA;24.8;20.4;83.4;76.9;40.8;16.9;7.0;4.6;10.2;14.7;17.0;25.0
% Humedad del suelo sobre la capacidad máxima;JÚCAR;46.9;40.8;84.5;84.0;47.1;22.4;11.6;11.9;20.5;25.8;40.7;60.0
% Humedad del suelo sobre la capacidad máxima;EBRO;70.4;61.1;74.2;75.4;44.4;26.5;17.2;19.2;23.0;27.6;46.7;63.6
