Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PIRINEO ORIENTAL;24.8;15.6;90.0;54.4;27.6;9.2;25.6;62.4;57.2;23.2;47.6;65.6
% Humedad del suelo sobre una capacidad de 25 mm;NORTE Y NOROESTE;64.8;64.8;81.2;64.8;46.4;49.2;2.0;28.8;83.6;83.2;98.8;94.0
% Humedad del suelo sobre una capacidad de 25 mm;DUERO;50.0;24.0;77.2;56.8;3.6;4.8;0.4;10.8;26.0;82.8;94.8;90.4
% Humedad del suelo sobre una capacidad de 25 mm;TAJO;38.4;23.2;86.4;59.2;1.2;0.8;1.6;2.0;22.8;66.0;87.6;84.0
% Humedad del suelo sobre una capacidad de 25 mm;GUADIANA;28.8;21.2;80.4;43.6;0.4;0.4;0.4;0.8;12.0;33.2;74.8;71.2
% Humedad del suelo sobre una capacidad de 25 mm;GUADALQUIVIR;23.2;21.2;86.8;45.2;0.4;0.4;0.4;1.2;10.4;17.6;55.2;60.4
% Humedad del suelo sobre una capacidad de 25 mm;SUR;21.6;22.4;90.0;50.4;0.8;0.4;0.4;1.6;4.0;1.6;20.4;44.0
% Humedad del suelo sobre una capacidad de 25 mm;SEGURA;18.4;8.4;93.2;49.6;0.4;0.8;0.4;4.8;24.0;10.4;17.6;29.6
% Humedad del suelo sobre una capacidad de 25 mm;JÚCAR;22.0;21.6;90.0;66.4;4.0;7.2;5.2;18.8;32.4;19.6;51.2;53.2
% Humedad del suelo sobre una capacidad de 25 mm;EBRO;46.0;24.0;69.2;57.6;9.6;14.4;9.6;27.2;33.2;39.2;82.8;74.4
