Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PIRINEO ORIENTAL;58.7;42.0;91.5;71.6;41.2;13.7;13.9;48.8;61.6;44.8;48.7;69.2
% Humedad del suelo sobre una capacidad de 75 mm;NORTE Y NOROESTE;85.6;85.1;89.6;84.3;50.7;59.5;13.3;29.1;68.8;87.2;99.5;97.5
% Humedad del suelo sobre una capacidad de 75 mm;DUERO;78.7;57.1;85.6;72.9;17.9;7.2;1.3;6.1;22.8;68.1;94.7;96.5
% Humedad del suelo sobre una capacidad de 75 mm;TAJO;70.5;48.4;93.2;77.2;12.0;1.9;1.1;1.7;23.6;59.6;81.7;94.1
% Humedad del suelo sobre una capacidad de 75 mm;GUADIANA;63.6;42.4;88.0;65.7;7.7;0.8;0.5;0.8;10.7;27.7;55.5;88.9
% Humedad del suelo sobre una capacidad de 75 mm;GUADALQUIVIR;56.0;37.2;93.1;69.7;9.2;0.8;0.5;0.8;7.9;15.7;38.7;81.9
% Humedad del suelo sobre una capacidad de 75 mm;SUR;34.3;25.9;94.1;63.2;12.7;1.2;0.5;0.9;2.5;2.7;14.0;62.0
% Humedad del suelo sobre una capacidad de 75 mm;SEGURA;28.1;17.5;96.9;69.7;12.8;1.6;0.7;3.1;16.8;19.9;23.1;33.1
% Humedad del suelo sobre una capacidad de 75 mm;JÚCAR;44.7;32.8;94.3;81.3;18.5;5.7;3.6;13.6;30.3;32.0;54.1;73.1
% Humedad del suelo sobre una capacidad de 75 mm;EBRO;71.7;51.6;76.9;74.1;23.2;13.5;8.9;21.1;28.5;35.2;66.8;84.5
