Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PRINCIPADO DE ASTURIAS;93.9;94.1;97.0;94.8;75.2;80.5;46.0;54.9;69.4;76.4;97.2;98.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE BALEARES;78.6;62.8;73.8;58.9;43.2;19.7;8.5;13.3;36.8;45.5;68.8;72.3
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANTABRIA;97.8;93.0;98.7;93.8;59.6;54.8;29.1;41.5;66.4;61.8;91.3;92.5
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE CEUTA;72.7;57.3;97.2;70.0;29.3;9.9;3.6;1.5;4.2;5.0;38.2;88.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE LA RIOJA;81.6;72.3;81.5;81.7;50.5;27.6;15.1;13.8;14.5;18.3;39.1;54.8
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD DE MADRID;68.2;57.4;87.1;81.2;33.6;11.0;3.6;1.6;16.8;34.1;54.7;88.8
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE MELILLA;10.3;8.2;36.7;61.4;24.1;7.4;2.5;1.0;0.7;1.5;4.1;21.2
% Humedad del suelo sobre la capacidad máxima;REGIÓN DE MURCIA;20.9;16.4;86.3;74.4;38.4;15.2;5.9;4.0;11.5;15.7;16.2;19.9
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD FORAL DE NAVARRA;89.9;81.3;84.1;82.6;49.5;32.0;19.2;19.8;27.6;27.8;58.1;72.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANARIAS;26.7;30.0;33.9;23.4;11.6;6.5;3.0;2.6;59.8;34.7;23.9;38.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;49.7;40.9;85.5;73.9;31.6;11.4;3.9;2.0;5.1;9.9;20.4;74.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ARAGÓN;62.1;51.8;69.3;72.7;39.5;22.2;15.8;16.7;21.0;25.5;44.0;61.9
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;60.3;52.0;79.5;79.1;36.6;14.5;5.8;4.5;9.0;15.9;30.9;74.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;75.1;65.2;81.6;76.4;40.2;22.2;9.1;8.3;18.6;46.8;69.5;92.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CATALUÑA;62.9;55.6;75.4;71.7;51.1;31.7;20.7;34.7;43.8;45.7;49.7;60.7
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE EXTREMADURA;71.1;55.5;83.4;69.1;23.9;8.0;2.0;0.9;13.5;41.7;59.7;92.2
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE GALICIA;91.2;91.5;92.8;90.9;67.9;69.6;32.7;26.2;49.1;97.4;100.0;100.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;99.1;94.9;97.2;96.1;68.1;57.8;33.2;29.8;52.3;43.4;80.7;84.2
% Humedad del suelo sobre la capacidad máxima;COMUNITAT VALENCIANA;40.2;34.8;91.7;85.1;51.2;25.2;12.9;11.7;21.1;30.4;47.9;54.2
