Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PRINCIPADO DE ASTURIAS;86.7;87.1;94.5;88.4;59.5;70.8;20.1;53.5;80.5;79.2;98.9;97.5
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE BALEARES;58.7;33.7;67.5;41.3;32.1;3.7;0.7;17.2;59.6;45.3;82.9;80.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;95.6;86.9;97.7;87.5;36.0;42.8;11.9;45.2;77.7;60.7;98.3;89.7
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE CEUTA;68.4;46.1;94.7;53.5;10.0;1.3;0.5;0.5;6.8;6.5;63.6;78.5
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;81.9;59.1;81.7;82.8;22.5;5.1;2.3;10.9;14.5;23.1;62.7;87.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD DE MADRID;72.4;51.2;96.5;83.9;13.1;1.3;1.5;0.9;24.3;49.1;73.5;94.0
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE MELILLA;7.1;5.6;57.5;52.8;8.7;0.8;0.5;0.5;0.5;1.6;6.0;32.0
% Humedad del suelo sobre una capacidad de 75 mm;REGIÓN DE MURCIA;24.1;13.5;97.3;64.5;12.3;1.9;0.7;2.9;19.9;20.8;18.8;25.2
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD FORAL DE NAVARRA;87.5;67.9;76.4;77.5;20.8;13.3;5.1;16.4;35.6;34.4;77.6;91.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;37.6;36.1;38.0;15.7;4.3;2.1;0.8;2.5;78.0;27.7;14.5;41.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;50.8;34.3;93.1;67.2;9.7;0.9;0.5;0.8;7.2;14.4;34.9;77.7
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;64.0;42.5;74.1;72.1;18.1;12.0;10.1;18.3;26.4;32.7;64.5;81.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;64.4;45.7;93.3;80.0;11.9;1.2;1.1;3.5;13.6;23.9;53.6;85.6
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;79.3;58.8;86.4;74.7;19.2;8.3;1.6;7.2;24.7;66.4;93.1;96.4
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;61.3;45.5;84.7;70.3;36.9;17.2;13.9;47.2;55.3;49.6;55.7;74.5
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;64.4;40.0;86.1;60.4;6.9;1.2;0.5;0.7;18.8;61.1;78.8;93.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE GALICIA;81.6;83.1;85.7;82.9;53.1;61.3;11.5;16.3;60.7;99.7;100.0;100.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;98.3;87.5;94.3;91.2;39.6;39.5;10.7;20.0;68.4;43.7;95.7;91.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNITAT VALENCIANA;34.4;25.7;95.1;76.3;21.5;7.5;3.9;12.9;30.5;37.2;54.4;62.5
