Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PIRINEO ORIENTAL;6.4;5.8;113.0;51.4;43.4;18.9;19.3;80.7;71.4;22.2;18.4;33.3;484.2
Precipitación;NORTE Y NOROESTE;70.0;41.1;117.6;97.5;37.4;78.4;12.1;44.4;78.7;144.1;194.9;206.0;1122.2
Precipitación;DUERO;10.9;6.0;75.4;55.2;15.8;20.2;5.1;19.6;33.5;81.2;73.9;127.2;524.0
Precipitación;TAJO;9.6;8.7;115.6;67.5;9.9;6.3;4.1;7.0;45.3;72.1;74.9;197.1;618.1
Precipitación;GUADIANA;6.2;9.0;94.0;62.4;6.0;2.6;0.4;6.4;24.7;35.0;44.2;161.7;452.6
Precipitación;GUADALQUIVIR;7.4;11.0;130.0;69.3;12.6;1.1;0.1;4.6;18.2;20.6;34.3;156.0;465.2
Precipitación;SUR;10.3;11.3;214.2;70.1;31.1;0.8;0.1;3.7;7.5;5.7;17.1;129.0;500.9
Precipitación;SEGURA;9.6;4.7;193.1;91.1;32.1;3.6;1.3;12.1;26.2;26.2;19.0;30.7;449.7
Precipitación;JÚCAR;5.7;9.0;189.8;87.9;37.7;7.6;11.5;27.7;41.0;35.0;53.6;62.6;569.1
Precipitación;EBRO;26.5;8.5;71.4;76.0;26.1;22.8;26.3;41.9;32.8;34.2;61.7;54.9;483.1
