Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;A CORUÑA;100.0;100.0;80.0;99.7;37.6;49.3;10.7;74.0;86.4;97.6;96.7;100.0
% Humedad del suelo sobre una capacidad de 75 mm;ALBACETE;92.7;47.3;98.9;74.4;31.3;3.9;2.1;1.5;6.9;14.4;82.5;79.3
% Humedad del suelo sobre una capacidad de 75 mm;ALICANTE/ALACANT;82.9;37.6;90.0;53.3;17.3;6.4;0.8;8.8;4.0;2.5;39.2;21.3
% Humedad del suelo sobre una capacidad de 75 mm;ALMERIA;71.1;30.5;71.9;45.5;8.7;0.9;0.7;0.5;7.7;5.5;36.7;19.9
% Humedad del suelo sobre una capacidad de 75 mm;ARABA/ALAVA;98.0;74.0;84.9;87.3;39.7;39.5;10.0;19.9;67.2;85.6;84.8;100.0
% Humedad del suelo sobre una capacidad de 75 mm;ASTURIAS;98.9;82.8;89.3;90.5;45.7;54.5;20.7;89.7;88.9;91.2;87.9;100.0
% Humedad del suelo sobre una capacidad de 75 mm;AVILA;94.3;53.1;77.7;84.0;33.7;6.3;0.8;3.9;50.1;78.9;89.3;95.2
% Humedad del suelo sobre una capacidad de 75 mm;BADAJOZ;96.0;52.1;80.1;65.5;18.8;1.6;1.3;1.5;11.1;65.5;95.3;92.7
% Humedad del suelo sobre una capacidad de 75 mm;ILLES BALEARS;87.6;45.3;51.5;63.1;16.3;10.1;1.1;21.9;29.5;36.7;53.3;57.2
% Humedad del suelo sobre una capacidad de 75 mm;BARCELONA;93.3;55.9;75.5;76.1;48.1;42.3;15.2;47.9;45.7;51.1;91.1;78.5
% Humedad del suelo sobre una capacidad de 75 mm;BIZKAIA;95.7;94.8;86.9;86.0;45.2;52.5;22.3;51.2;92.4;89.9;83.1;100.0
% Humedad del suelo sobre una capacidad de 75 mm;BURGOS;99.3;69.5;69.6;92.0;39.5;31.6;9.3;12.8;54.1;89.6;78.4;98.7
% Humedad del suelo sobre una capacidad de 75 mm;CACERES;99.6;58.1;86.5;73.3;24.9;2.5;1.5;0.7;29.2;88.0;98.7;93.6
% Humedad del suelo sobre una capacidad de 75 mm;CADIZ;90.9;40.7;95.3;72.8;25.9;4.1;0.5;0.5;0.9;47.9;95.6;92.0
% Humedad del suelo sobre una capacidad de 75 mm;CANTABRIA;95.7;81.9;87.9;90.5;45.3;52.7;25.6;77.2;82.5;90.0;80.9;100.0
% Humedad del suelo sobre una capacidad de 75 mm;CASTELLON/CASTELLÓ;90.5;42.8;100.0;76.8;32.7;19.7;3.5;6.1;10.0;7.2;96.5;62.1
% Humedad del suelo sobre una capacidad de 75 mm;CEUTA;87.7;42.3;100.0;73.3;54.3;25.2;3.9;0.7;0.9;26.4;71.2;100.0
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD REAL;91.5;50.5;79.9;63.6;20.9;1.7;1.1;3.3;11.2;26.3;67.9;84.5
% Humedad del suelo sobre una capacidad de 75 mm;CORDOBA;93.2;47.2;77.3;78.9;19.1;1.6;0.5;2.1;10.5;44.7;96.1;91.7
% Humedad del suelo sobre una capacidad de 75 mm;CUENCA;94.8;51.5;95.3;71.1;31.6;6.7;4.1;6.7;14.5;22.4;84.0;94.3
% Humedad del suelo sobre una capacidad de 75 mm;GIPUZKOA;97.7;96.3;87.5;92.8;46.0;53.5;21.2;64.7;92.1;91.1;86.0;100.0
% Humedad del suelo sobre una capacidad de 75 mm;GIRONA;92.9;57.2;87.3;83.5;35.1;44.8;24.1;45.6;53.5;70.1;98.3;82.4
% Humedad del suelo sobre una capacidad de 75 mm;GRANADA;88.5;41.5;68.4;65.9;24.9;2.9;1.1;0.7;10.0;20.1;68.7;69.3
% Humedad del suelo sobre una capacidad de 75 mm;GUADALAJARA;95.7;55.3;99.7;82.8;46.5;13.2;2.9;5.5;32.3;59.6;72.3;91.9
% Humedad del suelo sobre una capacidad de 75 mm;HUELVA;93.9;45.3;90.9;76.8;25.6;2.7;0.5;0.5;13.6;71.2;98.5;88.8
% Humedad del suelo sobre una capacidad de 75 mm;HUESCA;96.3;57.7;87.5;77.6;56.9;42.8;12.3;8.7;38.9;52.0;68.1;88.5
% Humedad del suelo sobre una capacidad de 75 mm;JAEN;90.4;44.9;74.3;71.2;25.3;2.8;1.2;0.9;2.9;21.9;74.8;96.4
% Humedad del suelo sobre una capacidad de 75 mm;LA RIOJA;94.0;55.5;87.1;87.6;44.8;44.3;16.0;12.7;24.9;42.9;58.0;83.1
% Humedad del suelo sobre una capacidad de 75 mm;LAS PALMAS;7.3;2.4;12.5;5.2;1.3;0.8;0.5;0.5;0.7;6.0;28.1;21.9
% Humedad del suelo sobre una capacidad de 75 mm;LEON;99.6;78.4;61.3;90.5;35.3;26.9;6.1;38.1;42.5;93.7;95.2;98.4
% Humedad del suelo sobre una capacidad de 75 mm;LLEIDA;94.5;57.2;77.7;82.4;54.0;48.4;16.1;20.4;33.9;48.3;77.7;81.5
% Humedad del suelo sobre una capacidad de 75 mm;LUGO;100.0;99.2;83.3;97.7;38.4;32.1;8.8;60.0;75.3;94.9;96.7;100.0
% Humedad del suelo sobre una capacidad de 75 mm;MADRID;90.7;52.0;86.4;70.5;34.4;5.5;0.9;5.5;39.5;68.8;86.1;86.4
% Humedad del suelo sobre una capacidad de 75 mm;MALAGA;89.7;40.8;94.1;68.4;28.1;3.3;0.7;0.5;4.1;35.7;92.9;79.9
% Humedad del suelo sobre una capacidad de 75 mm;MELILLA;38.8;18.0;18.5;40.0;20.5;2.7;0.9;0.5;0.8;2.1;10.0;40.0
% Humedad del suelo sobre una capacidad de 75 mm;MURCIA;85.7;39.3;95.7;60.7;14.5;3.3;2.0;1.5;3.7;3.9;38.3;24.1
% Humedad del suelo sobre una capacidad de 75 mm;NAVARRA;96.8;71.9;92.7;87.1;40.0;39.1;9.6;25.5;47.7;61.7;63.3;90.5
% Humedad del suelo sobre una capacidad de 75 mm;OURENSE;100.0;91.1;77.2;94.9;36.9;22.7;3.7;19.3;49.1;95.7;98.3;100.0
% Humedad del suelo sobre una capacidad de 75 mm;PALENCIA;99.5;70.0;54.7;89.9;31.3;21.3;8.4;16.9;38.9;91.1;81.1;96.7
