Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PIRINEO ORIENTAL;80.4;18.0;83.2;51.6;22.0;12.4;4.4;59.2;31.6;37.6;94.8;56.4
% Humedad del suelo sobre una capacidad de 25 mm;NORTE Y NOROESTE;97.6;84.8;64.0;90.8;11.6;24.8;6.0;55.2;79.6;83.6;81.2;100.0
% Humedad del suelo sobre una capacidad de 25 mm;DUERO;96.4;31.2;48.8;70.8;19.6;6.8;2.8;8.8;37.6;79.2;71.6;95.6
% Humedad del suelo sobre una capacidad de 25 mm;TAJO;91.2;19.6;94.4;44.8;15.2;0.4;0.4;0.8;27.2;65.2;84.0;88.0
% Humedad del suelo sobre una capacidad de 25 mm;GUADIANA;87.6;14.8;97.2;38.4;3.2;0.4;0.4;0.4;10.8;50.0;92.0;86.4
% Humedad del suelo sobre una capacidad de 25 mm;GUADALQUIVIR;80.8;10.0;94.8;58.4;2.8;0.4;0.4;0.4;6.0;42.4;89.6;78.0
% Humedad del suelo sobre una capacidad de 25 mm;SUR;63.6;6.8;94.8;32.4;6.4;0.4;0.4;0.4;5.2;25.6;77.2;33.6
% Humedad del suelo sobre una capacidad de 25 mm;SEGURA;67.6;7.6;92.0;36.0;3.2;0.8;1.6;1.6;4.4;6.8;72.0;27.6
% Humedad del suelo sobre una capacidad de 25 mm;JÚCAR;76.8;10.4;98.4;43.6;6.0;1.6;1.6;4.8;8.8;10.8;90.0;52.4
% Humedad del suelo sobre una capacidad de 25 mm;EBRO;87.2;22.4;86.8;60.0;30.0;18.0;2.8;13.6;30.0;40.0;66.8;84.0
