Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;A CORUÑA;100.0;100.0;90.6;99.9;65.2;64.4;33.5;67.9;74.2;99.0;98.6;100.0
% Humedad del suelo sobre la capacidad máxima;ALBACETE;82.6;63.4;93.8;84.4;57.0;24.6;11.5;6.0;7.2;11.4;43.7;51.4
% Humedad del suelo sobre la capacidad máxima;ALICANTE/ALACANT;81.2;59.3;83.1;69.5;41.0;22.4;9.0;8.2;6.0;4.5;20.9;16.3
% Humedad del suelo sobre la capacidad máxima;ALMERIA;64.7;38.2;62.5;46.5;17.2;5.4;2.0;0.9;5.8;4.9;24.7;16.4
% Humedad del suelo sobre la capacidad máxima;ARABA/ALAVA;98.7;89.7;94.0;94.3;73.2;66.3;41.3;35.6;49.6;80.1;82.6;96.5
% Humedad del suelo sobre la capacidad máxima;ASTURIAS;99.6;91.8;94.7;95.4;70.5;70.5;43.4;74.8;81.6;96.1;94.3;100.0
% Humedad del suelo sobre la capacidad máxima;AVILA;92.2;66.7;80.0;86.6;49.0;18.4;4.8;5.3;39.0;70.0;81.7;87.4
% Humedad del suelo sobre la capacidad máxima;BADAJOZ;84.9;63.8;73.1;72.1;38.5;12.6;4.0;2.4;7.6;38.9;72.0;81.7
% Humedad del suelo sobre la capacidad máxima;ILLES BALEARS;93.0;71.4;67.2;77.2;42.6;28.1;11.8;14.8;26.5;34.2;40.9;46.9
% Humedad del suelo sobre la capacidad máxima;BARCELONA;97.4;81.5;85.0;88.9;71.3;67.8;43.9;47.6;48.8;52.5;73.7;74.5
% Humedad del suelo sobre la capacidad máxima;BIZKAIA;98.1;97.0;93.8;92.0;71.4;74.3;50.4;53.8;83.0;95.7;92.4;100.0
% Humedad del suelo sobre la capacidad máxima;BURGOS;98.0;84.4;83.3;95.5;66.0;53.9;30.1;23.8;39.5;70.7;69.5;86.3
% Humedad del suelo sobre la capacidad máxima;CACERES;99.3;74.7;87.9;84.4;45.7;13.6;4.0;1.4;20.3;70.6;98.7;96.4
% Humedad del suelo sobre la capacidad máxima;CADIZ;92.8;64.7;86.9;79.9;48.0;20.3;6.5;2.6;1.7;26.2;66.1;82.0
% Humedad del suelo sobre la capacidad máxima;CANTABRIA;97.9;89.9;93.3;95.3;67.8;69.6;45.8;66.8;78.8;93.1;88.7;99.8
% Humedad del suelo sobre la capacidad máxima;CASTELLON/CASTELLÓ;95.8;70.8;99.9;89.5;60.3;42.6;19.6;12.2;12.2;10.4;82.2;68.8
% Humedad del suelo sobre la capacidad máxima;CEUTA;93.5;63.9;100.0;85.3;68.8;44.8;17.1;5.7;3.3;17.2;42.6;98.7
% Humedad del suelo sobre la capacidad máxima;CIUDAD REAL;78.2;60.9;71.2;67.6;39.9;14.4;5.2;5.3;8.7;17.0;38.3;53.4
% Humedad del suelo sobre la capacidad máxima;CORDOBA;93.3;69.3;74.4;79.6;41.6;14.7;4.7;4.0;8.3;26.3;67.9;77.8
% Humedad del suelo sobre la capacidad máxima;CUENCA;84.8;66.7;89.7;80.5;56.9;30.0;16.6;13.7;14.8;18.7;56.1;72.9
% Humedad del suelo sobre la capacidad máxima;GIPUZKOA;98.9;98.3;93.6;96.4;71.7;74.0;48.3;59.8;86.6;96.0;93.5;100.0
% Humedad del suelo sobre la capacidad máxima;GIRONA;97.3;81.2;90.1;92.8;64.8;68.3;47.8;48.0;53.5;65.4;92.3;86.6
% Humedad del suelo sobre la capacidad máxima;GRANADA;81.7;57.7;65.8;67.2;42.2;16.5;6.1;2.5;7.5;13.8;40.1;51.6
% Humedad del suelo sobre la capacidad máxima;GUADALAJARA;83.7;67.5;92.1;90.2;66.6;39.1;18.6;13.5;23.9;40.6;50.6;61.9
% Humedad del suelo sobre la capacidad máxima;HUELVA;94.9;66.8;85.2;83.5;48.2;17.2;5.1;1.8;9.2;51.4;94.2;91.6
% Humedad del suelo sobre la capacidad máxima;HUESCA;97.0;77.1;88.9;83.6;71.3;59.1;30.7;19.9;31.7;42.1;54.8;70.8
% Humedad del suelo sobre la capacidad máxima;JAEN;88.6;69.7;74.5;74.8;51.4;24.1;10.6;5.6;4.8;12.9;35.2;60.4
% Humedad del suelo sobre la capacidad máxima;LA RIOJA;81.2;67.0;91.4;93.9;69.5;63.7;38.5;28.1;28.3;38.9;46.6;59.6
