Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PIRINEO ORIENTAL;92.8;54.8;79.9;78.8;41.9;40.3;16.4;44.7;46.5;53.7;93.2;78.0
% Humedad del suelo sobre una capacidad de 75 mm;NORTE Y NOROESTE;99.1;92.5;82.1;95.1;41.2;43.6;13.3;63.9;78.4;94.0;92.3;100.0
% Humedad del suelo sobre una capacidad de 75 mm;DUERO;98.3;64.7;65.6;87.3;34.3;16.0;4.5;11.9;36.1;83.5;83.7;96.8
% Humedad del suelo sobre una capacidad de 75 mm;TAJO;95.3;55.3;87.2;74.1;30.4;5.3;1.5;4.0;31.9;68.8;84.4;89.9
% Humedad del suelo sobre una capacidad de 75 mm;GUADIANA;94.0;50.7;82.4;66.0;21.6;2.1;1.2;2.4;11.5;48.3;85.3;89.5
% Humedad del suelo sobre una capacidad de 75 mm;GUADALQUIVIR;92.0;43.9;79.3;73.1;22.4;2.4;0.8;1.1;7.2;35.2;85.2;88.0
% Humedad del suelo sobre una capacidad de 75 mm;SUR;79.7;35.6;83.6;56.8;19.2;2.4;0.7;0.5;6.4;21.3;66.5;49.9
% Humedad del suelo sobre una capacidad de 75 mm;SEGURA;87.1;40.8;96.8;64.3;18.8;3.5;2.3;1.6;5.3;6.5;49.5;38.0
% Humedad del suelo sobre una capacidad de 75 mm;JÚCAR;90.9;45.5;98.5;72.0;30.0;8.9;3.5;4.8;9.5;11.3;85.5;69.5
% Humedad del suelo sobre una capacidad de 75 mm;EBRO;94.9;56.4;86.0;78.9;47.5;35.2;9.2;11.2;28.4;41.5;67.7;81.1
