Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PRINCIPADO DE ASTURIAS;98.9;82.8;89.3;90.5;45.7;54.5;20.7;89.7;88.9;91.2;87.9;100.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE BALEARES;87.6;45.3;51.5;63.1;16.3;10.1;1.1;21.9;29.5;36.7;53.3;57.2
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;95.7;81.9;87.9;90.5;45.3;52.7;25.6;77.2;82.5;90.0;80.9;100.0
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE CEUTA;87.7;42.3;100.0;73.3;54.3;25.2;3.9;0.7;0.9;26.4;71.2;100.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;94.0;55.5;87.1;87.6;44.8;44.3;16.0;12.7;24.9;42.9;58.0;83.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD DE MADRID;90.7;52.0;86.4;70.5;34.4;5.5;0.9;5.5;39.5;68.8;86.1;86.4
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE MELILLA;38.8;18.0;18.5;40.0;20.5;2.7;0.9;0.5;0.8;2.1;10.0;40.0
% Humedad del suelo sobre una capacidad de 75 mm;REGIÓN DE MURCIA;85.7;39.3;95.7;60.7;14.5;3.3;2.0;1.5;3.7;3.9;38.3;24.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD FORAL DE NAVARRA;96.8;71.9;92.7;87.1;40.0;39.1;9.6;25.5;47.7;61.7;63.3;90.5
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;13.1;4.3;21.5;14.1;3.3;2.9;0.8;0.7;0.9;10.7;41.9;43.7
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;89.5;42.1;81.1;69.9;21.9;2.4;0.7;0.9;7.5;35.6;82.7;79.7
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;94.3;50.9;88.8;73.3;48.1;28.1;6.3;4.8;18.3;27.6;64.8;76.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;93.1;51.1;89.1;70.1;28.8;4.9;2.1;4.3;16.1;32.1;75.7;85.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;98.3;65.3;68.3;87.7;35.2;18.7;5.1;13.5;38.4;82.9;83.9;96.5
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;93.3;54.7;78.4;79.9;47.1;41.5;14.7;30.7;37.5;46.1;87.3;78.8
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;97.7;54.9;83.2;69.2;21.7;2.1;1.5;1.1;19.7;76.3;96.9;93.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE GALICIA;100.0;97.5;79.2;98.0;37.9;34.4;7.3;53.2;73.2;96.4;97.1;100.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;97.2;86.4;86.3;88.4;43.1;47.3;16.8;41.7;81.7;88.4;84.5;100.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNITAT VALENCIANA;87.5;41.3;97.1;68.1;25.2;10.5;3.1;5.2;7.9;6.3;80.5;50.9
