Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PIRINEO ORIENTAL;97.2;80.6;86.1;90.6;68.7;65.7;42.5;44.5;47.7;53.2;77.3;75.1
% Humedad del suelo sobre la capacidad máxima;NORTE Y NOROESTE;99.6;96.2;91.1;97.3;66.5;61.3;33.8;56.7;67.7;94.6;95.3;100.0
% Humedad del suelo sobre la capacidad máxima;DUERO;95.1;78.0;76.7;90.4;55.9;34.4;15.2;14.5;26.5;62.8;69.9;81.2
% Humedad del suelo sobre la capacidad máxima;TAJO;87.9;67.8;83.1;81.7;50.0;20.9;8.0;7.1;23.6;54.2;72.5;76.7
% Humedad del suelo sobre la capacidad máxima;GUADIANA;82.8;62.6;74.3;71.5;41.2;14.7;5.1;4.1;8.5;31.5;62.5;72.2
% Humedad del suelo sobre la capacidad máxima;GUADALQUIVIR;90.6;65.9;75.3;75.4;44.3;17.5;6.3;3.3;6.0;20.9;55.4;68.5
% Humedad del suelo sobre la capacidad máxima;SUR;76.0;49.5;75.8;62.4;33.6;12.3;4.2;1.7;5.3;13.5;46.9;43.4
% Humedad del suelo sobre la capacidad máxima;SEGURA;80.4;59.6;91.9;78.6;45.5;21.6;10.5;5.6;6.1;6.5;26.0;26.6
% Humedad del suelo sobre la capacidad máxima;JÚCAR;87.9;67.2;95.5;85.2;57.8;32.1;16.6;10.9;11.2;11.9;59.2;59.0
% Humedad del suelo sobre la capacidad máxima;EBRO;90.6;72.4;86.5;85.2;67.0;54.3;27.6;19.8;25.1;35.4;51.9;63.2
