Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;A CORUÑA;100.0;100.0;57.2;99.6;10.0;34.4;1.2;47.6;91.6;93.6;90.4;100.0
% Humedad del suelo sobre una capacidad de 25 mm;ALBACETE;80.4;10.8;100.0;49.2;6.8;0.4;1.2;0.4;6.0;18.0;91.6;70.4
% Humedad del suelo sobre una capacidad de 25 mm;ALICANTE/ALACANT;59.2;6.4;83.2;25.6;2.8;1.2;0.4;15.2;1.6;2.0;70.0;12.0
% Humedad del suelo sobre una capacidad de 25 mm;ALMERIA;57.2;4.8;90.0;27.2;1.2;0.4;0.4;0.4;5.2;5.2;64.4;10.8
% Humedad del suelo sobre una capacidad de 25 mm;ARABA/ALAVA;94.4;46.4;69.6;72.8;7.2;18.0;1.6;32.0;74.0;72.8;68.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;ASTURIAS;96.8;62.8;78.8;80.0;14.0;34.0;14.4;86.4;80.8;76.0;72.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;AVILA;87.2;17.2;77.2;62.4;20.8;0.8;0.4;0.8;36.8;72.8;87.2;94.0
% Humedad del suelo sobre una capacidad de 25 mm;BADAJOZ;92.8;16.0;96.4;33.6;2.0;0.4;0.8;0.4;11.6;65.6;95.2;81.6
% Humedad del suelo sobre una capacidad de 25 mm;ILLES BALEARS;67.2;9.6;60.0;29.2;1.6;1.2;0.8;46.0;12.4;19.2;77.2;45.2
% Humedad del suelo sobre una capacidad de 25 mm;BARCELONA;81.6;18.8;76.0;46.4;33.6;13.2;2.0;66.4;28.0;36.4;95.2;59.6
% Humedad del suelo sobre una capacidad de 25 mm;BIZKAIA;89.6;92.4;79.2;78.0;10.4;18.4;4.8;80.0;79.6;73.2;59.6;100.0
% Humedad del suelo sobre una capacidad de 25 mm;BURGOS;98.0;36.4;44.4;79.6;16.0;15.6;3.2;12.4;54.8;80.0;54.0;99.2
% Humedad del suelo sobre una capacidad de 25 mm;CACERES;98.8;23.2;89.2;42.0;3.2;0.4;0.8;0.4;24.4;72.4;96.0;82.8
% Humedad del suelo sobre una capacidad de 25 mm;CADIZ;75.2;11.6;99.6;49.6;8.8;0.4;0.4;0.4;0.8;50.0;92.8;80.8
% Humedad del suelo sobre una capacidad de 25 mm;CANTABRIA;88.4;62.8;77.2;79.6;11.6;24.8;14.0;80.8;77.6;73.6;56.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;CASTELLON/CASTELLÓ;74.4;8.0;100.0;48.0;6.8;4.0;3.2;10.4;8.8;5.2;92.0;28.8
% Humedad del suelo sobre una capacidad de 25 mm;CEUTA;67.6;7.2;100.0;40.0;45.6;1.6;0.8;0.4;0.8;50.0;99.6;100.0
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD REAL;83.6;15.2;96.8;40.8;4.8;0.4;0.4;0.4;10.4;37.6;87.2;93.6
% Humedad del suelo sobre una capacidad de 25 mm;CORDOBA;82.0;12.0;98.8;63.2;1.6;0.4;0.4;0.4;10.0;54.8;91.6;78.8
% Humedad del suelo sobre una capacidad de 25 mm;CUENCA;88.8;14.4;99.6;43.6;5.6;0.4;2.0;1.2;16.0;25.2;85.6;93.2
% Humedad del suelo sobre una capacidad de 25 mm;GIPUZKOA;94.0;92.8;80.4;81.2;11.2;18.0;4.8;84.8;78.8;75.6;64.4;100.0
% Humedad del suelo sobre una capacidad de 25 mm;GIRONA;80.4;20.4;90.4;60.8;11.2;15.2;9.2;59.2;42.4;49.2;95.2;58.8
% Humedad del suelo sobre una capacidad de 25 mm;GRANADA;74.4;8.0;83.2;51.2;4.0;0.4;0.8;0.4;7.6;28.4;82.4;60.4
% Humedad del suelo sobre una capacidad de 25 mm;GUADALAJARA;94.0;18.4;100.0;58.8;37.6;1.2;0.4;1.2;37.2;66.4;61.6;97.2
% Humedad del suelo sobre una capacidad de 25 mm;HUELVA;82.8;11.6;96.8;52.4;2.4;0.4;0.4;0.4;11.6;56.0;95.6;71.2
% Humedad del suelo sobre una capacidad de 25 mm;HUESCA;89.6;23.6;94.8;63.2;48.0;26.4;4.0;7.6;35.6;51.2;58.4;89.6
% Humedad del suelo sobre una capacidad de 25 mm;JAEN;82.0;10.4;94.0;59.6;2.8;0.4;0.8;0.4;2.8;34.0;86.8;94.8
% Humedad del suelo sobre una capacidad de 25 mm;LA RIOJA;88.0;20.0;74.4;70.4;31.2;30.0;7.6;10.0;32.8;45.2;63.2;93.2
% Humedad del suelo sobre una capacidad de 25 mm;LAS PALMAS;2.4;0.8;18.8;2.8;0.8;0.8;0.4;0.4;0.8;5.2;55.2;13.2
% Humedad del suelo sobre una capacidad de 25 mm;LEON;99.2;55.6;40.0;81.6;9.2;17.6;2.4;33.6;44.8;83.6;87.2;95.6
% Humedad del suelo sobre una capacidad de 25 mm;LLEIDA;84.8;20.4;78.4;65.2;41.2;24.0;4.0;30.4;32.8;45.2;71.2;75.6
% Humedad del suelo sobre una capacidad de 25 mm;LUGO;100.0;98.8;62.8;98.0;9.2;13.6;4.4;42.8;80.8;85.6;90.4;100.0
