Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PRINCIPADO DE ASTURIAS;96.8;62.8;78.8;80.0;14.0;34.0;14.4;86.4;80.8;76.0;72.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE BALEARES;67.2;9.6;60.0;29.2;1.6;1.2;0.8;46.0;12.4;19.2;77.2;45.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;88.4;62.8;77.2;79.6;11.6;24.8;14.0;80.8;77.6;73.6;56.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE CEUTA;67.6;7.2;100.0;40.0;45.6;1.6;0.8;0.4;0.8;50.0;99.6;100.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;88.0;20.0;74.4;70.4;31.2;30.0;7.6;10.0;32.8;45.2;63.2;93.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD DE MADRID;82.0;16.0;98.4;38.4;28.4;0.4;0.4;1.2;29.6;67.6;87.6;81.6
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE MELILLA;14.4;1.2;20.8;39.6;6.8;0.8;0.4;0.4;0.8;3.2;22.8;30.0
% Humedad del suelo sobre una capacidad de 25 mm;REGIÓN DE MURCIA;64.4;6.8;89.6;31.2;2.0;0.8;0.8;1.2;2.8;3.6;65.2;15.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD FORAL DE NAVARRA;94.8;48.8;89.6;69.2;15.6;20.8;1.2;32.4;47.6;59.2;55.2;96.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;4.0;0.8;28.0;9.6;0.8;1.6;0.4;0.8;1.2;10.4;63.6;36.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;77.2;9.2;94.8;52.4;3.6;0.4;0.4;0.4;6.4;40.4;87.6;67.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;85.2;15.6;95.2;52.8;31.6;14.8;2.0;4.0;18.4;27.6;69.2;82.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;85.6;14.8;98.8;44.0;10.0;0.4;0.8;0.8;15.6;37.6;83.6;88.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;96.4;32.8;52.0;71.6;19.2;8.8;2.8;10.4;39.6;78.0;72.0;96.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;81.6;18.0;81.2;56.8;28.8;16.0;3.6;41.6;29.6;36.4;85.6;62.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;95.6;19.2;93.2;37.6;2.4;0.4;0.8;0.4;17.6;68.8;95.6;82.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE GALICIA;100.0;95.2;56.0;96.8;10.4;18.8;2.0;34.8;81.6;90.0;91.6;100.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;92.8;73.2;75.6;76.8;9.2;18.0;3.6;61.2;77.2;73.6;64.4;100.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNITAT VALENCIANA;68.0;8.0;95.6;38.0;4.4;2.0;1.6;8.0;6.0;4.8;86.8;24.4
