Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PIRINEO ORIENTAL;24.2;42.9;58.5;76.0;126.0;120.5;158.5;139.0;92.3;56.7;28.0;27.5;950.1
Evapotranspiración de referencia;NORTE Y NOROESTE;21.4;35.1;49.1;59.3;108.6;94.6;127.9;100.0;79.3;40.9;28.4;19.9;764.5
Evapotranspiración de referencia;DUERO;17.1;38.5;58.0;62.2;129.1;137.8;191.0;152.0;105.0;54.4;27.0;20.1;992.2
Evapotranspiración de referencia;TAJO;23.7;44.1;65.6;74.5;145.9;177.7;223.8;187.2;122.3;68.9;30.7;25.8;1190.2
Evapotranspiración de referencia;GUADIANA;26.4;48.6;73.1;83.9;158.0;191.1;230.0;198.6;131.4;80.4;35.7;25.6;1282.8
Evapotranspiración de referencia;GUADALQUIVIR;29.7;58.0;78.2;89.2;161.8;188.5;227.1;199.1;134.6;87.2;44.9;28.0;1326.3
Evapotranspiración de referencia;SUR;36.9;63.3;78.2;81.6;153.0;180.3;200.1;191.1;126.1;90.5;48.2;46.9;1296.2
Evapotranspiración de referencia;SEGURA;32.6;59.7;73.8;83.0;151.0;181.5;196.1;187.7;119.7;86.5;40.1;47.0;1258.7
Evapotranspiración de referencia;JÚCAR;28.1;54.3;62.2;78.1;138.4;162.3;182.2;170.9;112.3;76.9;33.3;37.5;1136.5
Evapotranspiración de referencia;EBRO;20.3;44.2;56.8;72.0;129.0;129.2;172.8;154.9;104.7;59.4;28.1;25.0;996.4
