Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PRINCIPADO DE ASTURIAS;99.6;91.8;94.7;95.4;70.5;70.5;43.4;74.8;81.6;96.1;94.3;100.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE BALEARES;93.0;71.4;67.2;77.2;42.6;28.1;11.8;14.8;26.5;34.2;40.9;46.9
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANTABRIA;97.9;89.9;93.3;95.3;67.8;69.6;45.8;66.8;78.8;93.1;88.7;99.8
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE CEUTA;93.5;63.9;100.0;85.3;68.8;44.8;17.1;5.7;3.3;17.2;42.6;98.7
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE LA RIOJA;81.2;67.0;91.4;93.9;69.5;63.7;38.5;28.1;28.3;38.9;46.6;59.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD DE MADRID;82.9;63.3;78.2;76.7;49.7;19.3;5.7;7.5;28.3;55.9;70.8;72.5
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE MELILLA;38.0;25.6;22.2;35.2;25.1;8.6;3.1;1.0;1.0;1.8;6.1;26.4
% Humedad del suelo sobre la capacidad máxima;REGIÓN DE MURCIA;79.9;57.6;90.3;75.3;39.5;18.2;8.5;4.4;4.7;4.4;21.4;17.8
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD FORAL DE NAVARRA;87.6;78.7;91.0;92.2;67.2;60.6;33.8;32.2;40.9;54.6;57.3;76.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANARIAS;15.6;9.3;16.8;14.1;7.2;5.5;2.4;1.3;1.1;6.7;25.5;35.5
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;87.8;62.5;76.0;73.3;42.3;16.4;5.7;2.9;6.1;22.2;57.3;65.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ARAGÓN;88.2;67.2;85.3;80.6;64.8;46.8;21.2;12.8;16.6;22.8;45.3;56.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;80.8;63.1;81.8;77.0;50.5;23.3;10.6;8.7;13.3;22.9;48.0;59.7
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;95.5;78.8;79.0;91.0;57.2;37.1;17.1;16.6;29.1;64.6;71.1;82.3
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CATALUÑA;97.3;79.1;84.9;89.0;69.9;64.3;37.9;34.6;38.5;44.6;69.0;69.2
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE EXTREMADURA;91.8;69.0;80.1;77.9;41.9;13.1;4.0;1.9;13.7;54.0;84.8;88.7
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE GALICIA;100.0;98.7;89.6;98.8;63.6;52.9;25.5;48.3;59.0;95.0;98.1;100.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;98.6;94.3;93.8;94.2;72.2;70.8;45.9;47.7;69.7;89.1;88.5;98.5
% Humedad del suelo sobre la capacidad máxima;COMUNITAT VALENCIANA;89.0;66.9;93.9;82.9;53.5;32.1;15.9;10.1;9.8;8.6;61.1;51.8
