Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PRINCIPADO DE ASTURIAS;196.9;138.4;34.4;73.1;67.4;131.2;22.5;19.2;90.3;74.2;309.8;205.3;1362.7
Precipitación;COMUNIDAD AUTÓNOMA DE BALEARES;81.2;5.3;53.9;22.0;54.4;28.5;8.8;10.0;73.2;55.6;229.9;18.1;640.9
Precipitación;COMUNIDAD AUTÓNOMA DE CANTABRIA;180.7;112.8;56.0;60.3;60.2;122.9;43.2;30.3;105.1;47.1;384.6;246.6;1449.8
Precipitación;CIUDAD AUTÓNOMA DE CEUTA;261.9;93.9;209.8;35.4;12.9;2.7;0.0;1.5;7.6;3.7;129.2;61.8;820.4
Precipitación;COMUNIDAD AUTÓNOMA DE LA RIOJA;72.8;54.2;17.6;46.5;47.1;94.8;4.1;16.9;42.0;37.2;115.8;49.7;598.7
Precipitación;COMUNIDAD DE MADRID;69.3;61.7;6.1;77.0;25.7;40.0;5.6;30.0;63.0;84.1;25.2;36.0;523.7
Precipitación;CIUDAD AUTÓNOMA DE MELILLA;44.9;20.0;45.1;57.1;9.0;3.1;0.0;1.2;49.6;1.0;34.1;5.2;270.3
Precipitación;REGIÓN DE MURCIA;44.5;2.3;52.6;61.6;48.7;32.6;9.3;3.3;32.4;20.1;37.4;4.2;349.0
Precipitación;COMUNIDAD FORAL DE NAVARRA;98.8;85.9;23.8;43.7;44.2;87.9;17.6;28.3;64.3;45.0;161.1;186.9;887.5
Precipitación;COMUNIDAD AUTÓNOMA DE CANARIAS;65.3;43.2;12.8;10.7;1.7;2.2;1.1;2.4;2.3;4.6;28.8;14.2;189.3
Precipitación;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;90.2;55.1;25.6;53.4;19.3;16.5;1.3;4.5;35.1;31.7;30.4;73.4;436.5
Precipitación;COMUNIDAD AUTÓNOMA DE ARAGÓN;63.2;37.1;6.8;66.1;42.8;66.7;20.9;25.5;65.0;40.8;67.6;32.0;534.5
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;83.6;49.0;14.6;72.6;22.7;43.7;5.0;26.4;56.8;81.9;30.5;29.3;516.1
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;65.2;98.3;10.2;64.3;38.0;66.0;5.5;11.4;67.1;58.9;55.0;62.9;602.8
Precipitación;COMUNIDAD AUTÓNOMA DE CATALUÑA;45.7;36.7;13.6;73.5;34.2;55.4;28.9;30.0;73.4;37.3;82.3;16.2;527.2
Precipitación;COMUNIDAD AUTÓNOMA DE EXTREMADURA;66.2;97.0;6.1;77.4;16.1;32.8;0.1;3.8;89.1;103.0;8.7;67.2;567.5
Precipitación;COMUNIDAD AUTÓNOMA DE GALICIA;197.5;261.4;23.3;92.0;104.3;96.6;21.6;22.5;76.0;129.2;80.1;189.1;1293.6
Precipitación;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;141.8;98.8;48.9;56.7;49.8;123.2;28.0;23.0;90.2;51.7;296.4;255.4;1263.9
Precipitación;COMUNITAT VALENCIANA;57.2;14.9;47.4;89.4;39.0;34.1;20.0;31.9;87.6;36.0;47.0;4.1;508.6
