Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;A CORUÑA;100.0;83.6;20.4;74.4;27.2;42.8;15.6;2.4;72.4;100.0;99.2;88.8
% Humedad del suelo sobre una capacidad de 25 mm;ALBACETE;64.0;42.8;12.4;74.0;17.2;3.6;0.8;25.6;24.8;85.2;79.2;52.4
% Humedad del suelo sobre una capacidad de 25 mm;ALICANTE/ALACANT;18.8;5.2;23.6;65.2;28.0;0.8;7.6;5.2;22.0;48.4;48.0;9.6
% Humedad del suelo sobre una capacidad de 25 mm;ALMERIA;18.8;6.8;9.2;31.2;34.0;0.8;4.4;0.4;13.6;41.6;42.4;12.0
% Humedad del suelo sobre una capacidad de 25 mm;ARABA/ALAVA;93.2;84.0;30.4;89.6;32.8;39.2;2.8;12.4;49.6;89.2;99.2;79.6
% Humedad del suelo sobre una capacidad de 25 mm;ASTURIAS;92.4;91.6;31.2;82.0;28.8;55.2;14.8;6.8;73.2;95.6;98.8;74.8
% Humedad del suelo sobre una capacidad de 25 mm;AVILA;94.8;61.6;5.2;86.0;13.2;8.4;1.2;26.0;56.4;100.0;88.0;84.0
% Humedad del suelo sobre una capacidad de 25 mm;BADAJOZ;89.6;50.0;2.4;46.4;0.8;3.6;0.4;1.2;39.6;97.6;40.8;86.4
% Humedad del suelo sobre una capacidad de 25 mm;ILLES BALEARS;44.4;11.6;22.0;12.4;25.6;4.4;16.4;20.4;38.8;63.2;86.4;35.2
% Humedad del suelo sobre una capacidad de 25 mm;BARCELONA;60.8;62.8;15.2;94.0;24.0;8.0;35.2;30.8;38.4;63.2;86.0;43.2
% Humedad del suelo sobre una capacidad de 25 mm;BIZKAIA;99.6;86.0;28.8;86.8;33.6;53.2;30.8;5.6;70.8;80.0;98.8;66.0
% Humedad del suelo sobre una capacidad de 25 mm;BURGOS;94.4;82.8;17.6;79.6;42.0;24.4;1.6;31.2;46.4;90.0;98.0;89.6
% Humedad del suelo sobre una capacidad de 25 mm;CACERES;94.0;48.4;2.0;64.4;2.4;4.0;0.4;2.8;48.8;100.0;32.8;87.2
% Humedad del suelo sobre una capacidad de 25 mm;CADIZ;92.4;72.0;5.6;30.8;2.0;0.8;0.4;0.4;13.2;41.2;72.8;84.4
% Humedad del suelo sobre una capacidad de 25 mm;CANTABRIA;90.0;73.6;33.2;79.2;41.6;54.0;30.4;4.8;71.6;74.0;98.8;68.4
% Humedad del suelo sobre una capacidad de 25 mm;CASTELLON/CASTELLÓ;27.2;50.0;14.8;86.4;26.4;9.6;37.6;71.2;40.8;30.4;78.4;27.2
% Humedad del suelo sobre una capacidad de 25 mm;CEUTA;68.4;100.0;20.0;49.6;18.8;0.4;0.4;0.4;2.0;1.2;69.6;81.6
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD REAL;88.4;39.6;3.2;68.8;1.6;1.2;0.4;7.6;18.0;100.0;71.2;84.4
% Humedad del suelo sobre una capacidad de 25 mm;CORDOBA;88.4;51.2;2.8;66.0;0.8;0.4;0.4;2.0;20.8;88.0;48.0;84.8
% Humedad del suelo sobre una capacidad de 25 mm;CUENCA;96.0;61.2;7.2;79.6;15.6;6.0;4.8;41.2;22.4;100.0;86.8;86.8
% Humedad del suelo sobre una capacidad de 25 mm;GIPUZKOA;100.0;74.0;28.0;95.6;51.2;53.2;32.0;5.6;75.6;98.4;98.8;69.6
% Humedad del suelo sobre una capacidad de 25 mm;GIRONA;72.0;66.0;13.2;87.6;41.6;7.2;42.8;32.0;41.2;40.4;88.8;54.0
% Humedad del suelo sobre una capacidad de 25 mm;GRANADA;62.8;35.6;6.4;54.4;32.4;1.2;0.4;2.4;5.2;40.4;67.6;60.4
% Humedad del suelo sobre una capacidad de 25 mm;GUADALAJARA;94.4;60.4;8.8;90.8;34.8;9.2;12.8;64.8;50.4;99.2;90.4;88.4
% Humedad del suelo sobre una capacidad de 25 mm;HUELVA;80.4;78.4;4.0;54.4;0.8;2.8;0.4;0.4;32.4;66.8;48.4;85.2
% Humedad del suelo sobre una capacidad de 25 mm;HUESCA;88.8;71.6;8.8;75.6;24.4;20.0;15.2;15.2;37.2;89.2;90.0;77.2
% Humedad del suelo sobre una capacidad de 25 mm;JAEN;94.0;44.8;3.6;54.0;4.4;1.6;0.4;12.4;7.6;64.4;90.8;83.6
% Humedad del suelo sobre una capacidad de 25 mm;LA RIOJA;83.2;70.4;18.8;71.2;42.8;20.8;1.6;38.4;30.8;71.6;98.0;81.6
% Humedad del suelo sobre una capacidad de 25 mm;LAS PALMAS;10.0;19.6;1.6;4.4;0.4;0.8;0.4;0.4;0.4;1.2;17.6;5.2
% Humedad del suelo sobre una capacidad de 25 mm;LEON;94.0;90.8;13.2;78.0;23.2;24.0;2.0;6.4;66.4;95.2;88.8;92.8
% Humedad del suelo sobre una capacidad de 25 mm;LLEIDA;86.4;70.4;12.8;94.0;40.0;21.2;54.4;18.4;36.8;68.8;90.0;62.0
% Humedad del suelo sobre una capacidad de 25 mm;LUGO;98.8;87.6;22.8;77.2;26.0;43.6;3.6;4.4;58.4;100.0;99.6;87.2
% Humedad del suelo sobre una capacidad de 25 mm;MADRID;90.8;55.2;4.0;74.8;18.8;5.2;3.2;72.4;39.2;99.6;72.0;88.8
% Humedad del suelo sobre una capacidad de 25 mm;MALAGA;70.4;52.4;7.2;55.6;9.2;0.4;0.4;0.8;16.8;19.2;43.6;78.4
% Humedad del suelo sobre una capacidad de 25 mm;MELILLA;24.4;53.2;31.6;18.0;16.0;0.4;0.4;0.4;41.6;1.6;31.2;8.0
% Humedad del suelo sobre una capacidad de 25 mm;MURCIA;18.8;4.8;16.0;60.0;28.4;2.0;6.0;1.6;16.4;27.6;50.0;15.2
% Humedad del suelo sobre una capacidad de 25 mm;NAVARRA;94.8;76.8;17.6;67.2;20.8;27.2;11.2;45.2;45.2;84.8;98.4;87.6
