Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PRINCIPADO DE ASTURIAS;92.4;91.6;31.2;82.0;28.8;55.2;14.8;6.8;73.2;95.6;98.8;74.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE BALEARES;44.4;11.6;22.0;12.4;25.6;4.4;16.4;20.4;38.8;63.2;86.4;35.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;90.0;73.6;33.2;79.2;41.6;54.0;30.4;4.8;71.6;74.0;98.8;68.4
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE CEUTA;68.4;100.0;20.0;49.6;18.8;0.4;0.4;0.4;2.0;1.2;69.6;81.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;83.2;70.4;18.8;71.2;42.8;20.8;1.6;38.4;30.8;71.6;98.0;81.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD DE MADRID;90.8;55.2;4.0;74.8;18.8;5.2;3.2;72.4;39.2;99.6;72.0;88.8
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE MELILLA;24.4;53.2;31.6;18.0;16.0;0.4;0.4;0.4;41.6;1.6;31.2;8.0
% Humedad del suelo sobre una capacidad de 25 mm;REGIÓN DE MURCIA;18.8;4.8;16.0;60.0;28.4;2.0;6.0;1.6;16.4;27.6;50.0;15.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD FORAL DE NAVARRA;94.8;76.8;17.6;67.2;20.8;27.2;11.2;45.2;45.2;84.8;98.4;87.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;16.0;28.4;12.0;17.2;0.8;0.8;0.4;0.4;0.8;4.4;40.4;19.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;74.8;48.4;4.8;51.6;10.0;1.2;0.8;2.8;16.0;57.2;58.0;73.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;76.0;55.2;7.2;73.2;32.4;13.2;14.8;26.8;26.0;70.4;92.4;68.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;85.2;49.6;6.4;72.8;13.6;4.0;3.2;31.2;28.0;97.2;76.4;78.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;94.0;71.6;8.8;78.8;24.8;16.0;1.6;15.2;55.2;96.0;89.6;89.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;68.8;64.4;12.4;92.8;29.2;17.2;45.6;32.8;38.4;59.2;86.8;50.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;91.6;49.2;2.0;55.2;1.6;4.0;0.4;2.0;44.0;98.8;36.8;86.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE GALICIA;99.6;85.2;18.4;72.8;23.6;36.4;6.0;4.4;63.2;100.0;93.6;88.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;97.2;82.0;29.2;90.4;38.0;47.2;19.2;8.4;63.2;88.8;98.8;72.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNITAT VALENCIANA;27.6;31.6;20.4;78.0;24.0;4.4;18.4;41.6;36.4;55.2;66.0;22.0
