Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PRINCIPADO DE ASTURIAS;98.8;98.6;83.6;89.1;76.6;90.5;59.2;40.7;65.8;83.5;99.8;95.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE BALEARES;65.5;52.5;55.6;42.7;43.3;26.7;13.5;9.7;30.4;41.9;96.5;85.1
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANTABRIA;98.3;94.7;83.1;84.9;74.5;86.4;62.7;45.4;77.2;76.7;99.7;93.2
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE CEUTA;92.6;100.0;71.5;57.7;29.5;12.0;3.9;1.3;1.8;1.4;68.3;85.5
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE LA RIOJA;73.4;75.2;62.3;62.2;52.6;55.8;28.7;20.8;25.1;35.5;78.0;84.5
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD DE MADRID;82.9;81.5;51.8;65.2;35.7;22.4;6.9;16.3;32.9;66.7;67.0;74.7
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE MELILLA;38.0;37.3;43.6;49.3;25.0;10.0;2.8;1.0;22.7;12.6;19.9;15.0
% Humedad del suelo sobre la capacidad máxima;REGIÓN DE MURCIA;30.9;23.0;33.9;42.8;40.0;23.6;11.3;5.2;11.4;14.0;26.0;21.8
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD FORAL DE NAVARRA;82.5;83.2;67.7;63.9;52.9;55.2;36.3;32.2;42.2;49.0;82.4;91.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANARIAS;43.2;44.0;29.5;20.6;10.2;5.5;2.6;1.5;1.3;1.9;14.4;16.1
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;82.3;76.6;52.5;51.9;27.6;13.5;4.7;3.0;13.5;23.0;30.9;59.9
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ARAGÓN;71.8;69.0;48.3;56.5;42.8;37.6;20.7;16.8;31.8;39.9;67.4;68.5
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;80.2;77.3;55.3;63.5;37.2;25.8;10.4;12.2;25.1;57.2;61.2;66.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;88.7;91.2;63.6;69.4;47.9;42.1;17.9;11.5;33.8;52.4;68.4;80.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CATALUÑA;77.1;76.8;59.7;69.6;51.0;42.1;30.9;25.1;40.8;46.2;73.1;68.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE EXTREMADURA;95.0;86.3;49.8;60.3;26.0;16.3;4.2;1.9;40.3;78.0;64.9;85.5
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE GALICIA;99.9;97.6;76.2;89.4;76.9;79.1;48.2;32.2;51.1;89.5;94.2;98.2
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;98.8;96.5;84.7;83.5;71.4;84.1;60.2;43.8;65.3;70.4;98.4;95.0
% Humedad del suelo sobre la capacidad máxima;COMUNITAT VALENCIANA;60.4;53.3;54.5;71.8;50.8;32.2;19.4;19.0;40.7;43.4;52.5;44.7
