Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;A CORUÑA;100.0;97.5;79.1;89.6;82.6;86.9;64.3;43.6;66.6;97.5;99.7;98.4
% Humedad del suelo sobre la capacidad máxima;ALBACETE;69.8;64.5;53.7;61.8;38.6;28.3;9.7;14.2;20.7;33.7;41.5;41.0
% Humedad del suelo sobre la capacidad máxima;ALICANTE/ALACANT;30.5;23.3;39.3;57.2;49.7;25.2;12.4;6.6;18.9;29.5;38.3;30.3
% Humedad del suelo sobre la capacidad máxima;ALMERIA;39.8;25.0;26.8;29.4;30.1;10.0;5.1;1.7;6.5;19.9;29.5;19.8
% Humedad del suelo sobre la capacidad máxima;ARABA/ALAVA;97.3;96.4;85.9;84.0;68.3;77.4;49.6;36.1;46.3;51.8;96.4;96.4
% Humedad del suelo sobre la capacidad máxima;ASTURIAS;98.8;98.6;83.6;89.1;76.6;90.5;59.2;40.7;65.8;83.5;99.8;95.6
% Humedad del suelo sobre la capacidad máxima;AVILA;90.9;87.9;54.2;73.6;39.0;26.9;7.6;8.0;53.2;73.5;79.3;83.3
% Humedad del suelo sobre la capacidad máxima;BADAJOZ;91.6;85.9;51.3;52.5;23.0;15.4;4.2;1.6;35.0;64.3;55.5;78.0
% Humedad del suelo sobre la capacidad máxima;ILLES BALEARS;65.5;52.5;55.6;42.7;43.3;26.7;13.5;9.7;30.4;41.9;96.5;85.1
% Humedad del suelo sobre la capacidad máxima;BARCELONA;76.1;75.3;62.0;71.1;50.5;37.7;25.3;21.2;37.6;45.5;70.7;64.8
% Humedad del suelo sobre la capacidad máxima;BIZKAIA;100.0;97.5;84.4;82.5;70.3;88.6;67.2;49.8;76.7;81.4;99.8;93.6
% Humedad del suelo sobre la capacidad máxima;BURGOS;93.4;95.3;74.0;74.3;59.1;55.3;28.3;21.6;29.6;43.8;75.3;85.5
% Humedad del suelo sobre la capacidad máxima;CACERES;98.8;86.8;48.3;68.8;29.3;17.4;4.1;2.1;46.1;93.1;75.2;93.8
% Humedad del suelo sobre la capacidad máxima;CADIZ;98.6;93.5;63.4;50.3;21.5;10.5;3.6;1.6;10.0;15.7;31.2;85.1
% Humedad del suelo sobre la capacidad máxima;CANTABRIA;98.3;94.7;83.1;84.9;74.5;86.4;62.7;45.4;77.2;76.7;99.7;93.2
% Humedad del suelo sobre la capacidad máxima;CASTELLON/CASTELLÓ;72.8;66.9;57.2;79.3;52.1;36.8;26.0;31.5;55.8;46.4;59.5;51.3
