Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PIRINEO ORIENTAL;29.4;35.1;65.1;75.2;110.3;142.4;158.5;131.4;81.1;51.6;31.4;21.6;933.1
Evapotranspiración de referencia;NORTE Y NOROESTE;20.6;36.6;58.6;71.3;92.0;99.2;106.9;103.2;69.0;47.5;20.8;21.2;746.9
Evapotranspiración de referencia;DUERO;21.1;36.6;69.5;75.0;117.6;140.0;175.2;162.4;88.0;57.4;22.7;17.1;982.6
Evapotranspiración de referencia;TAJO;25.5;40.7;82.6;84.7;143.2;167.9;212.9;193.5;104.0;67.4;32.6;22.2;1177.2
Evapotranspiración de referencia;GUADIANA;26.3;43.4;88.3;91.2;157.8;182.0;226.7;200.6;118.9;78.1;37.2;26.3;1276.8
Evapotranspiración de referencia;GUADALQUIVIR;31.0;47.8;90.3;95.1;161.2;181.8;227.1;194.7;124.6;83.8;42.0;32.1;1311.5
Evapotranspiración de referencia;SUR;49.6;58.5;82.4;90.0;149.8;170.7;212.4;174.3;119.6;78.6;52.3;44.4;1282.6
Evapotranspiración de referencia;SEGURA;50.9;55.9;72.6;80.0;147.1;165.8;208.9;173.5;112.8;70.6;48.2;39.8;1226.1
Evapotranspiración de referencia;JÚCAR;39.1;45.7;69.6;73.0;133.6;148.9;193.3;159.5;97.9;62.5;37.8;31.5;1092.4
Evapotranspiración de referencia;EBRO;27.2;39.4;69.4;0.7;120.6;139.7;169.5;151.9;87.9;57.2;28.0;18.6;910.1
