Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PIRINEO ORIENTAL;62.0;63.2;13.2;92.0;27.6;12.8;40.0;37.2;39.2;55.6;85.6;44.8
% Humedad del suelo sobre una capacidad de 25 mm;NORTE Y NOROESTE;97.2;85.2;23.2;75.2;29.2;43.6;12.8;6.0;67.2;96.0;96.0;82.0
% Humedad del suelo sobre una capacidad de 25 mm;DUERO;94.0;70.4;7.2;79.2;21.2;14.4;0.8;14.4;54.4;97.6;88.8;90.0
% Humedad del suelo sobre una capacidad de 25 mm;TAJO;91.2;54.4;4.8;70.4;14.0;5.2;3.2;38.8;45.2;100.0;62.4;86.4
% Humedad del suelo sobre una capacidad de 25 mm;GUADIANA;88.4;50.0;3.2;58.4;2.0;2.4;0.4;10.0;29.6;95.2;54.8;85.2
% Humedad del suelo sobre una capacidad de 25 mm;GUADALQUIVIR;84.0;49.6;3.6;52.8;6.0;0.8;0.4;3.6;14.4;65.6;65.2;80.4
% Humedad del suelo sobre una capacidad de 25 mm;SUR;44.4;33.2;8.8;48.0;26.4;0.8;2.4;0.8;12.8;29.2;43.2;46.4
% Humedad del suelo sobre una capacidad de 25 mm;SEGURA;28.0;14.4;15.6;62.0;27.2;2.4;4.8;5.6;20.8;40.0;56.4;22.4
% Humedad del suelo sobre una capacidad de 25 mm;JÚCAR;53.6;44.0;16.0;80.0;25.6;6.8;14.0;41.6;30.0;74.8;76.0;44.0
% Humedad del suelo sobre una capacidad de 25 mm;EBRO;80.4;63.6;12.0;78.4;32.8;18.8;19.2;24.8;34.8;71.2;93.2;72.0
