Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PIRINEO ORIENTAL;33.3;35.5;15.4;70.9;34.5;43.9;22.8;34.5;79.0;34.9;90.7;5.2;500.6
Precipitación;NORTE Y NOROESTE;192.7;204.2;32.5;78.4;87.2;109.3;25.5;23.4;85.9;101.8;184.6;212.2;1337.7
Precipitación;DUERO;58.0;94.8;8.0;65.5;35.4;63.7;5.0;10.0;63.3;56.6;44.0;53.0;557.3
Precipitación;TAJO;80.4;90.0;8.7;84.4;25.5;43.6;4.6;20.8;86.2;106.6;22.2;49.4;622.4
Precipitación;GUADIANA;70.6;64.2;12.1;62.5;13.8;28.7;0.8;11.5;63.9;77.5;17.7;52.3;475.6
Precipitación;GUADALQUIVIR;92.2;57.8;18.7;53.9;15.9;17.5;0.4;6.1;33.0;37.7;32.3;79.5;445.0
Precipitación;SUR;104.3;27.2;44.7;54.3;30.8;12.0;4.8;1.9;21.2;19.3;30.3;38.9;389.7
Precipitación;SEGURA;52.0;10.4;46.1;60.9;44.8;37.7;7.3;11.1;37.3;25.4;36.3;7.2;376.5
Precipitación;JÚCAR;66.0;26.9;33.9;86.6;35.1;48.3;17.0;37.8;71.4;50.4;42.5;12.2;528.1
Precipitación;EBRO;68.6;48.3;12.2;62.5;41.5;73.7;20.1;21.1;64.4;40.1;93.8;60.5;606.8
