Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PIRINEO ORIENTAL;66.7;41.7;17.2;41.7;43.5;11.9;24.4;18.1;40.4;86.5;88.3;86.5
% Humedad del suelo sobre una capacidad de 75 mm;NORTE Y NOROESTE;100.0;74.7;59.6;81.3;47.2;47.6;33.2;28.3;48.1;97.5;100.0;92.5
% Humedad del suelo sobre una capacidad de 75 mm;DUERO;96.8;64.4;34.4;58.7;15.6;12.3;8.1;11.5;24.1;69.2;98.7;93.9
% Humedad del suelo sobre una capacidad de 75 mm;TAJO;84.5;49.2;24.8;63.1;9.1;0.9;0.9;10.0;24.5;43.7;88.8;90.8
% Humedad del suelo sobre una capacidad de 75 mm;GUADIANA;86.1;48.3;24.1;54.9;6.0;0.5;0.7;3.3;15.3;24.9;83.5;89.2
% Humedad del suelo sobre una capacidad de 75 mm;GUADALQUIVIR;91.2;49.3;26.0;53.5;5.5;0.7;0.5;3.2;18.9;21.1;84.8;84.1
% Humedad del suelo sobre una capacidad de 75 mm;SUR;55.5;32.9;26.3;43.3;5.7;0.9;0.5;0.7;29.9;24.1;57.3;65.2
% Humedad del suelo sobre una capacidad de 75 mm;SEGURA;39.2;21.3;25.9;67.1;10.5;0.9;0.5;11.7;48.9;42.9;44.4;61.3
% Humedad del suelo sobre una capacidad de 75 mm;JÚCAR;51.2;28.3;39.7;70.5;17.3;1.9;2.4;22.8;44.3;49.3;57.2;73.1
% Humedad del suelo sobre una capacidad de 75 mm;EBRO;84.0;53.9;31.9;54.7;39.3;11.3;16.5;24.0;25.3;63.9;83.5;83.2
