Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PIRINEO ORIENTAL;47.6;12.4;2.0;33.2;28.8;2.0;24.8;20.8;29.2;66.0;74.8;67.2
% Humedad del suelo sobre una capacidad de 25 mm;NORTE Y NOROESTE;100.0;43.6;23.6;55.6;18.4;28.0;27.2;19.6;52.4;94.0;100.0;79.6
% Humedad del suelo sobre una capacidad de 25 mm;DUERO;97.2;30.4;7.2;44.0;3.2;8.8;5.6;14.8;24.0;76.8;100.0;83.2
% Humedad del suelo sobre una capacidad de 25 mm;TAJO;82.4;16.0;8.4;41.2;0.8;0.4;0.4;14.8;18.4;54.0;98.8;75.2
% Humedad del suelo sobre una capacidad de 25 mm;GUADIANA;86.8;16.0;16.0;34.8;0.4;0.4;0.4;5.2;9.6;34.8;91.2;73.2
% Humedad del suelo sobre una capacidad de 25 mm;GUADALQUIVIR;93.6;14.8;21.2;32.0;0.4;0.4;0.4;4.8;6.8;24.4;88.0;61.6
% Humedad del suelo sobre una capacidad de 25 mm;SUR;47.6;9.6;39.2;31.6;0.8;0.4;0.4;0.4;8.4;24.8;54.8;42.8
% Humedad del suelo sobre una capacidad de 25 mm;SEGURA;15.6;4.0;54.4;32.8;1.2;0.4;0.4;15.6;12.0;42.4;44.0;37.6
% Humedad del suelo sobre una capacidad de 25 mm;JÚCAR;29.6;6.0;74.0;39.6;4.0;0.4;1.6;30.8;18.4;49.2;54.8;50.0
% Humedad del suelo sobre una capacidad de 25 mm;EBRO;80.0;22.0;22.0;40.0;22.8;2.4;17.6;20.8;19.2;63.2;85.2;70.8
