Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;A CORUÑA;100.0;88.5;80.8;93.7;70.1;73.2;46.3;46.9;59.5;97.9;100.0;97.7
% Humedad del suelo sobre la capacidad máxima;ALBACETE;47.2;37.7;31.6;80.1;38.8;15.1;6.2;9.9;40.2;36.6;53.9;63.9
% Humedad del suelo sobre la capacidad máxima;ALICANTE/ALACANT;43.6;33.3;37.3;77.4;38.0;15.4;5.9;18.3;57.1;56.9;47.1;59.7
% Humedad del suelo sobre la capacidad máxima;ALMERIA;35.1;25.6;21.0;34.6;11.0;3.5;1.3;0.8;39.5;33.7;34.7;50.3
% Humedad del suelo sobre la capacidad máxima;ARABA/ALAVA;99.1;88.6;79.0;88.0;80.0;53.7;49.9;37.5;47.2;60.9;98.3;96.6
% Humedad del suelo sobre la capacidad máxima;ASTURIAS;100.0;89.5;81.2;88.1;74.1;73.1;54.5;44.2;51.8;95.6;100.0;95.8
% Humedad del suelo sobre la capacidad máxima;AVILA;78.1;57.3;42.0;58.3;20.9;6.3;2.8;12.3;24.1;47.0;80.7;88.8
% Humedad del suelo sobre la capacidad máxima;BADAJOZ;77.3;59.8;42.7;49.1;17.1;5.5;1.7;1.7;2.3;9.5;47.1;78.9
% Humedad del suelo sobre la capacidad máxima;ILLES BALEARS;84.6;68.4;50.5;41.0;28.5;13.4;6.2;10.8;26.7;57.9;80.2;80.3
% Humedad del suelo sobre la capacidad máxima;BARCELONA;88.1;75.1;55.1;56.3;55.5;32.6;31.2;26.1;34.4;67.1;72.7;90.8
% Humedad del suelo sobre la capacidad máxima;BIZKAIA;100.0;82.2;83.9;90.3;88.3;65.3;65.6;51.4;67.3;93.2;100.0;96.4
% Humedad del suelo sobre la capacidad máxima;BURGOS;91.9;79.4;64.0;78.6;55.2;33.9;26.8;18.5;30.9;53.9;90.2;95.2
% Humedad del suelo sobre la capacidad máxima;CACERES;88.9;66.9;45.1;58.5;18.5;5.5;1.8;3.5;12.2;27.6;76.4;94.6
% Humedad del suelo sobre la capacidad máxima;CADIZ;93.5;68.8;45.6;50.9;19.5;8.0;3.2;1.4;3.0;8.4;54.3;71.5
% Humedad del suelo sobre la capacidad máxima;CANTABRIA;100.0;85.4;81.8;86.8;74.7;62.8;62.2;55.7;71.7;96.2;100.0;95.0
% Humedad del suelo sobre la capacidad máxima;CASTELLON/CASTELLÓ;69.6;53.1;43.5;57.5;36.0;15.1;9.3;20.4;33.4;39.8;34.0;68.4
% Humedad del suelo sobre la capacidad máxima;CEUTA;95.1;74.3;50.5;60.6;24.5;9.5;3.6;1.3;1.1;13.8;78.6;90.1
% Humedad del suelo sobre la capacidad máxima;CIUDAD REAL;63.7;50.2;34.4;58.5;23.5;7.7;2.6;2.4;17.7;21.6;54.1;75.7
% Humedad del suelo sobre la capacidad máxima;CORDOBA;87.7;67.5;47.3;54.0;19.3;6.9;2.6;2.3;6.5;12.6;58.6;89.6
% Humedad del suelo sobre la capacidad máxima;CUENCA;65.8;52.8;42.9;72.3;38.6;16.4;7.8;12.3;24.6;31.1;60.6;77.4
% Humedad del suelo sobre la capacidad máxima;GIPUZKOA;100.0;81.2;85.0;90.6;92.4;68.7;82.1;67.2;69.3;92.0;100.0;96.5
% Humedad del suelo sobre la capacidad máxima;GIRONA;85.9;72.4;52.1;65.2;59.5;37.0;34.4;22.0;38.6;83.3;87.8;92.3
% Humedad del suelo sobre la capacidad máxima;GRANADA;72.2;60.8;45.3;64.3;26.4;10.4;3.9;3.4;26.0;23.6;56.9;72.8
% Humedad del suelo sobre la capacidad máxima;GUADALAJARA;74.8;62.6;48.3;77.3;41.8;17.9;8.8;10.8;21.1;30.8;59.7;78.0
% Humedad del suelo sobre la capacidad máxima;HUELVA;91.2;68.7;44.9;51.0;18.4;6.8;2.5;1.1;4.0;12.2;38.2;83.7
% Humedad del suelo sobre la capacidad máxima;HUESCA;89.2;73.5;52.0;61.9;50.9;27.7;22.5;32.9;25.6;60.1;76.5;83.5
% Humedad del suelo sobre la capacidad máxima;JAEN;73.5;61.7;46.0;65.6;30.2;13.0;5.5;4.4;24.2;22.5;69.1;86.8
% Humedad del suelo sobre la capacidad máxima;LA RIOJA;73.8;67.9;54.1;65.4;54.3;35.9;30.3;21.1;28.7;38.6;71.5;74.0
% Humedad del suelo sobre la capacidad máxima;LAS PALMAS;15.6;10.9;12.7;7.6;3.4;1.9;1.3;0.9;0.8;1.7;5.2;12.7
% Humedad del suelo sobre la capacidad máxima;LEON;91.9;83.1;65.9;74.2;46.2;43.9;28.9;19.0;27.3;63.2;89.7;96.7
% Humedad del suelo sobre la capacidad máxima;LLEIDA;90.9;76.0;53.8;59.7;54.0;29.2;28.1;35.0;29.4;77.2;82.7;88.5
% Humedad del suelo sobre la capacidad máxima;LUGO;100.0;89.2;79.0;92.1;64.7;58.7;41.9;30.6;33.9;97.1;100.0;97.1
% Humedad del suelo sobre la capacidad máxima;MADRID;61.8;47.1;30.5;55.1;20.8;6.2;1.8;11.3;25.6;33.2;56.2;80.8
% Humedad del suelo sobre la capacidad máxima;MALAGA;80.6;62.7;50.0;53.4;21.0;8.1;3.1;1.6;25.8;19.3;53.2;65.7
% Humedad del suelo sobre la capacidad máxima;MELILLA;26.2;19.7;40.8;28.9;10.9;7.2;2.4;1.0;7.5;21.6;41.7;44.1
% Humedad del suelo sobre la capacidad máxima;MURCIA;43.2;32.9;28.3;63.1;29.3;11.6;4.4;6.4;58.0;50.6;43.4;55.0
% Humedad del suelo sobre la capacidad máxima;NAVARRA;83.0;72.6;63.2;70.2;70.2;45.1;42.1;31.8;33.0;48.7;82.4;83.1
% Humedad del suelo sobre la capacidad máxima;OURENSE;100.0;86.7;71.2;90.7;51.3;47.0;28.8;22.8;28.4;94.0;100.0;97.0
% Humedad del suelo sobre la capacidad máxima;PALENCIA;85.5;73.1;55.6;62.4;36.1;23.9;17.7;12.8;21.3;57.1;83.7;92.8
% Humedad del suelo sobre la capacidad máxima;PONTEVEDRA;100.0;89.0;75.4;92.3;60.4;54.3;33.8;35.2;51.9;99.7;100.0;97.5
% Humedad del suelo sobre la capacidad máxima;SALAMANCA;81.1;64.5;49.3;64.2;25.2;14.9;8.4;13.3;16.6;41.5;82.9;92.7
% Humedad del suelo sobre la capacidad máxima;SANTA CRUZ DE TENERIFE;38.5;36.0;39.0;33.1;16.3;10.1;5.5;2.7;3.5;20.4;23.6;30.5
% Humedad del suelo sobre la capacidad máxima;SEGOVIA;78.5;59.6;40.3;54.2;26.6;10.1;5.2;8.3;13.7;35.2;79.8;91.1
% Humedad del suelo sobre la capacidad máxima;SEVILLA;92.0;66.4;45.2;49.3;16.9;6.1;2.3;1.7;3.5;9.6;40.0;79.3
% Humedad del suelo sobre la capacidad máxima;SORIA;79.8;66.7;48.7;74.2;46.6;22.2;17.3;15.7;24.5;37.4;78.1;89.1
% Humedad del suelo sobre la capacidad máxima;TARRAGONA;71.1;56.4;38.1;34.5;30.9;15.3;10.0;13.3;19.7;66.0;63.3;78.2
% Humedad del suelo sobre la capacidad máxima;TERUEL;83.6;67.6;55.4;70.3;44.4;18.0;13.4;13.9;22.7;35.6;46.9;59.8
% Humedad del suelo sobre la capacidad máxima;TOLEDO;52.1;39.8;25.9;47.5;17.0;5.2;2.0;2.0;13.7;20.1;41.7;72.4
% Humedad del suelo sobre la capacidad máxima;VALENCIA/VALÈNCIA;59.1;46.8;45.9;77.3;44.6;20.0;9.7;11.6;42.9;41.3;37.2;61.0
% Humedad del suelo sobre la capacidad máxima;VALLADOLID;70.3;57.5;40.3;42.2;18.7;10.1;5.5;5.7;10.9;34.8;63.8;88.9
% Humedad del suelo sobre la capacidad máxima;ZAMORA;76.3;67.1;51.3;59.8;27.6;23.8;14.2;11.9;11.7;42.1;70.4;91.2
% Humedad del suelo sobre la capacidad máxima;ZARAGOZA;59.5;47.5;34.6;41.1;35.0;14.1;9.9;14.9;12.5;23.8;43.7;51.6
