Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;A CORUÑA;100.0;75.3;60.5;85.9;44.0;56.9;23.1;32.9;63.6;99.5;100.0;94.4
% Humedad del suelo sobre una capacidad de 75 mm;ALBACETE;57.7;31.3;28.1;75.3;12.0;1.1;0.8;15.9;46.1;38.0;69.5;80.7
% Humedad del suelo sobre una capacidad de 75 mm;ALICANTE/ALACANT;35.1;18.3;41.2;67.9;11.7;1.1;0.5;27.1;45.9;55.6;39.1;53.5
% Humedad del suelo sobre una capacidad de 75 mm;ALMERIA;31.6;18.8;17.3;38.4;5.1;0.7;0.5;0.5;37.6;32.1;38.4;55.1
% Humedad del suelo sobre una capacidad de 75 mm;ARABA/ALAVA;100.0;70.1;52.8;79.5;63.9;21.5;46.0;23.3;52.1;80.8;100.0;92.7
% Humedad del suelo sobre una capacidad de 75 mm;ASTURIAS;100.0;77.6;63.1;76.8;54.1;61.2;36.8;30.4;45.7;96.3;100.0;90.4
% Humedad del suelo sobre una capacidad de 75 mm;AVILA;88.1;50.8;29.3;55.7;9.3;1.2;1.5;17.7;30.9;64.4;97.2;89.5
% Humedad del suelo sobre una capacidad de 75 mm;BADAJOZ;93.3;52.9;28.4;45.5;4.7;0.7;0.5;2.1;2.9;16.1;85.5;89.2
% Humedad del suelo sobre una capacidad de 75 mm;ILLES BALEARS;74.0;44.0;23.6;22.5;12.9;1.7;1.2;16.5;32.7;78.8;84.3;66.1
% Humedad del suelo sobre una capacidad de 75 mm;BARCELONA;72.7;46.1;19.1;37.7;44.3;11.1;26.1;22.4;37.5;86.4;89.7;90.5
% Humedad del suelo sobre una capacidad de 75 mm;BIZKAIA;100.0;61.7;67.7;80.0;78.1;40.1;67.9;39.3;69.1;89.6;100.0;91.3
% Humedad del suelo sobre una capacidad de 75 mm;BURGOS;99.9;66.5;41.1;74.1;34.4;13.2;18.8;10.4;38.4;76.8;99.6;94.1
% Humedad del suelo sobre una capacidad de 75 mm;CACERES;90.1;52.4;26.4;53.7;6.1;0.8;0.9;4.7;17.1;40.5;98.5;91.7
% Humedad del suelo sobre una capacidad de 75 mm;CADIZ;93.3;46.1;22.4;40.3;4.1;0.8;0.5;0.5;3.5;14.1;83.6;77.9
% Humedad del suelo sobre una capacidad de 75 mm;CANTABRIA;100.0;72.7;66.9;76.1;60.3;46.3;56.5;50.4;62.3;93.2;100.0;90.0
% Humedad del suelo sobre una capacidad de 75 mm;CASTELLON/CASTELLÓ;43.5;22.1;30.3;53.7;20.8;2.3;4.4;31.9;43.1;53.7;36.3;64.8
% Humedad del suelo sobre una capacidad de 75 mm;CEUTA;98.3;57.1;32.4;56.4;9.9;1.5;0.8;0.7;0.7;22.1;94.9;82.0
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD REAL;82.4;45.7;20.7;65.5;7.2;0.5;0.8;3.2;27.3;31.1;87.9;90.8
% Humedad del suelo sobre una capacidad de 75 mm;CORDOBA;95.5;51.7;26.8;47.9;4.1;0.7;0.5;2.7;8.7;18.9;92.7;88.0
% Humedad del suelo sobre una capacidad de 75 mm;CUENCA;77.9;43.1;32.7;77.1;14.9;1.3;1.1;19.1;36.4;47.6;90.9;88.5
% Humedad del suelo sobre una capacidad de 75 mm;GIPUZKOA;100.0;61.6;69.7;80.9;83.6;44.5;89.5;55.9;63.5;92.5;100.0;92.1
% Humedad del suelo sobre una capacidad de 75 mm;GIRONA;70.0;44.5;19.1;58.3;46.7;15.7;31.1;11.9;47.5;88.9;91.9;83.9
% Humedad del suelo sobre una capacidad de 75 mm;GRANADA;77.9;50.8;30.9;65.2;8.7;1.2;0.5;4.3;30.9;25.6;78.4;80.7
% Humedad del suelo sobre una capacidad de 75 mm;GUADALAJARA;90.8;55.9;31.9;76.4;16.0;1.6;1.2;14.0;29.2;49.2;96.3;89.9
% Humedad del suelo sobre una capacidad de 75 mm;HUELVA;92.7;51.2;23.2;42.7;4.3;0.7;0.5;0.7;5.7;20.7;63.2;84.4
% Humedad del suelo sobre una capacidad de 75 mm;HUESCA;93.1;59.1;27.6;55.5;38.7;12.1;15.5;39.6;22.7;76.7;87.9;88.0
% Humedad del suelo sobre una capacidad de 75 mm;JAEN;94.9;53.7;26.8;65.9;6.7;0.7;0.5;4.8;36.7;27.1;96.7;86.7
% Humedad del suelo sobre una capacidad de 75 mm;LA RIOJA;90.5;60.5;33.5;62.9;42.1;17.9;22.3;13.5;33.3;53.6;94.1;84.9
% Humedad del suelo sobre una capacidad de 75 mm;LAS PALMAS;13.1;7.5;13.9;5.1;1.3;0.9;0.8;0.7;0.8;2.4;7.3;14.4
% Humedad del suelo sobre una capacidad de 75 mm;LEON;99.2;76.8;45.1;65.5;24.3;35.6;16.8;10.1;30.5;87.6;99.7;93.5
% Humedad del suelo sobre una capacidad de 75 mm;LLEIDA;86.8;57.5;26.4;47.9;44.5;13.9;23.5;39.5;26.7;88.8;92.0;91.9
% Humedad del suelo sobre una capacidad de 75 mm;LUGO;100.0;78.0;60.3;83.9;41.7;42.3;24.8;16.4;31.9;98.0;100.0;93.6
% Humedad del suelo sobre una capacidad de 75 mm;MADRID;78.4;45.1;19.1;64.3;8.7;0.8;0.5;21.2;33.9;45.3;78.9;90.3
% Humedad del suelo sobre una capacidad de 75 mm;MALAGA;74.3;41.5;35.2;45.7;5.2;0.7;0.5;0.9;33.1;18.3;72.4;74.4
% Humedad del suelo sobre una capacidad de 75 mm;MELILLA;23.9;13.7;60.9;27.9;4.3;4.1;0.8;0.5;8.8;31.7;60.5;53.3
% Humedad del suelo sobre una capacidad de 75 mm;MURCIA;32.9;17.2;23.3;63.1;9.5;0.8;0.5;8.7;48.8;44.9;36.3;53.3
% Humedad del suelo sobre una capacidad de 75 mm;NAVARRA;92.0;60.3;43.1;63.7;63.2;21.2;29.6;20.4;30.0;63.1;95.9;89.3
% Humedad del suelo sobre una capacidad de 75 mm;OURENSE;100.0;74.5;48.9;81.6;25.7;34.5;14.7;14.3;31.5;99.7;100.0;93.9
