Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PIRINEO ORIENTAL;13.7;3.4;4.0;60.6;65.7;21.1;50.3;28.5;62.3;120.5;42.0;88.4;560.5
Precipitación;NORTE Y NOROESTE;215.0;59.0;71.8;141.7;57.4;63.1;42.0;39.0;57.9;170.0;396.8;241.8;1555.5
Precipitación;DUERO;44.0;15.1;20.8;75.3;12.9;26.0;31.8;21.3;34.8;69.1;115.0;114.5;580.6
Precipitación;TAJO;27.4;5.7;20.7;98.5;6.6;2.6;8.3;18.7;41.5;42.1;88.2;118.2;478.5
Precipitación;GUADIANA;29.1;6.8;18.9;86.8;6.3;0.1;2.2;7.0;29.6;25.7;73.5;87.4;373.4
Precipitación;GUADALQUIVIR;42.4;7.6;19.7;88.4;1.7;0.5;0.5;5.6;46.0;20.5;93.2;105.0;431.1
Precipitación;SUR;21.4;9.5;18.9;63.8;1.0;1.4;0.1;1.2;72.2;19.4;59.0;61.1;329.0
Precipitación;SEGURA;7.9;3.7;19.3;129.7;6.4;2.6;2.3;21.2;155.1;29.2;32.3;57.5;467.2
Precipitación;JÚCAR;10.0;2.4;27.9;130.7;16.0;2.5;14.2;34.1;95.0;35.6;36.5;74.3;479.2
Precipitación;EBRO;62.9;16.8;13.9;73.3;53.9;23.1;45.2;38.1;33.5;75.9;109.3;72.2;618.1
