Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;A CORUÑA;100.0;44.0;22.8;63.6;10.4;29.6;14.8;14.4;84.8;98.8;100.0;84.4
% Humedad del suelo sobre una capacidad de 25 mm;ALBACETE;41.2;6.8;52.0;42.8;1.2;0.4;0.4;25.6;15.2;40.4;74.4;66.8
% Humedad del suelo sobre una capacidad de 25 mm;ALICANTE/ALACANT;8.4;2.0;76.0;32.0;1.6;0.4;0.4;24.0;10.0;45.6;31.2;22.8
% Humedad del suelo sobre una capacidad de 25 mm;ALMERIA;9.6;4.0;32.0;28.0;0.8;0.4;0.4;0.4;9.2;33.6;40.0;32.4
% Humedad del suelo sobre una capacidad de 25 mm;ARABA/ALAVA;100.0;36.4;24.4;57.2;38.8;4.4;78.8;18.0;42.8;76.8;100.0;80.0
% Humedad del suelo sobre una capacidad de 25 mm;ASTURIAS;100.0;48.4;28.0;49.6;20.4;42.0;28.8;28.8;34.0;92.0;100.0;74.4
% Humedad del suelo sobre una capacidad de 25 mm;AVILA;89.6;17.6;5.2;38.8;0.8;0.4;1.2;26.8;24.4;68.8;100.0;72.0
% Humedad del suelo sobre una capacidad de 25 mm;BADAJOZ;95.6;18.4;18.4;31.6;0.4;0.4;0.4;2.8;2.8;27.2;93.6;71.6
% Humedad del suelo sobre una capacidad de 25 mm;ILLES BALEARS;54.0;12.0;9.6;15.6;7.6;0.4;1.2;24.8;12.0;57.6;65.6;30.8
% Humedad del suelo sobre una capacidad de 25 mm;BARCELONA;53.2;14.0;2.0;30.8;31.2;1.2;24.0;27.6;24.4;65.6;76.4;75.6
% Humedad del suelo sobre una capacidad de 25 mm;BIZKAIA;100.0;24.0;33.6;54.8;55.2;13.2;78.0;23.6;47.6;74.0;100.0;76.4
% Humedad del suelo sobre una capacidad de 25 mm;BURGOS;100.0;31.6;13.6;54.8;14.0;2.8;30.4;9.6;35.2;73.6;100.0;83.6
% Humedad del suelo sobre una capacidad de 25 mm;CACERES;88.8;17.6;4.4;36.4;0.4;0.4;0.8;6.0;16.4;51.6;100.0;77.6
% Humedad del suelo sobre una capacidad de 25 mm;CADIZ;99.2;12.8;17.2;26.0;0.4;0.4;0.4;0.4;2.0;19.6;88.4;49.2
% Humedad del suelo sobre una capacidad de 25 mm;CANTABRIA;100.0;41.2;32.4;46.4;33.6;22.0;57.2;46.8;32.0;82.8;100.0;73.2
% Humedad del suelo sobre una capacidad de 25 mm;CASTELLON/CASTELLÓ;18.4;3.2;64.8;31.2;10.8;0.4;4.4;34.8;18.4;48.8;21.2;28.8
% Humedad del suelo sobre una capacidad de 25 mm;CEUTA;100.0;24.4;30.4;48.8;0.8;0.8;0.8;0.4;0.4;35.6;87.6;55.2
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD REAL;82.0;13.6;11.2;40.0;0.4;0.4;0.4;5.2;14.0;38.0;88.8;77.2
% Humedad del suelo sobre una capacidad de 25 mm;CORDOBA;98.4;16.0;18.4;30.4;0.4;0.4;0.4;4.4;4.4;27.2;90.8;68.4
% Humedad del suelo sobre una capacidad de 25 mm;CUENCA;72.0;12.0;46.8;46.8;1.2;0.4;0.4;31.6;24.8;56.0;94.4;72.8
% Humedad del suelo sobre una capacidad de 25 mm;GIPUZKOA;100.0;23.6;36.8;58.8;60.0;16.0;100.0;33.2;47.6;82.4;100.0;78.4
% Humedad del suelo sobre una capacidad de 25 mm;GIRONA;52.8;14.4;2.8;42.4;26.8;4.0;35.6;10.8;37.6;70.8;80.4;60.8
% Humedad del suelo sobre una capacidad de 25 mm;GRANADA;74.0;18.4;30.4;39.2;0.8;0.4;0.4;8.0;9.6;27.2;75.6;60.4
% Humedad del suelo sobre una capacidad de 25 mm;GUADALAJARA;90.8;20.0;21.6;46.0;2.0;0.4;0.4;22.4;21.2;62.0;100.0;72.8
% Humedad del suelo sobre una capacidad de 25 mm;HUELVA;98.8;19.2;12.4;27.6;0.4;0.4;0.4;0.4;5.2;31.6;85.2;61.2
