Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;SEGOVIA;94.6;84.3;64.7;37.3;41.5;34.3;12.2;4.7;42.2;86.2;97.3;94.6
% Humedad del suelo sobre la capacidad máxima;SEVILLA;80.6;60.2;40.2;17.3;22.8;14.4;4.0;1.4;12.8;61.1;69.4;67.5
% Humedad del suelo sobre la capacidad máxima;SORIA;85.9;82.8;61.5;39.8;34.1;50.4;22.8;10.0;32.7;74.0;88.8;86.9
% Humedad del suelo sobre la capacidad máxima;TARRAGONA;37.2;50.2;35.0;21.9;27.6;21.6;15.2;9.8;41.0;38.9;33.0;28.9
% Humedad del suelo sobre la capacidad máxima;TERUEL;53.6;51.5;33.8;20.3;26.1;41.8;19.3;9.5;22.2;23.8;27.2;27.7
% Humedad del suelo sobre la capacidad máxima;TOLEDO;74.8;57.8;37.6;17.6;41.4;27.1;7.4;2.5;31.8;73.4;80.0;76.2
% Humedad del suelo sobre la capacidad máxima;VALENCIA/VALÈNCIA;43.9;48.4;30.3;17.4;41.9;31.2;16.3;10.8;33.0;24.3;19.2;16.3
% Humedad del suelo sobre la capacidad máxima;VALLADOLID;93.9;84.0;61.7;34.3;28.9;24.8;8.1;3.1;27.5;59.6;85.0;90.3
% Humedad del suelo sobre la capacidad máxima;ZAMORA;93.9;83.5;67.8;37.5;35.2;34.4;12.5;5.3;35.5;73.6;88.5;92.4
% Humedad del suelo sobre la capacidad máxima;ZARAGOZA;48.2;46.0;28.2;16.6;16.2;28.0;14.0;5.8;22.5;36.6;40.8;39.3
