Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PIRINEO ORIENTAL;53.6;65.4;49.3;41.8;49.0;49.6;29.9;30.8;38.1;37.5;35.6;34.5
% Humedad del suelo sobre la capacidad máxima;NORTE Y NOROESTE;98.3;95.2;88.0;78.8;70.9;72.7;44.0;41.4;65.2;97.1;99.9;99.2
% Humedad del suelo sobre la capacidad máxima;DUERO;94.3;85.5;67.6;40.7;38.7;37.8;14.8;6.6;33.3;78.6;92.6;93.7
% Humedad del suelo sobre la capacidad máxima;TAJO;86.1;68.5;52.2;26.9;43.1;30.3;9.4;3.6;33.6;86.0;93.5;88.7
% Humedad del suelo sobre la capacidad máxima;GUADIANA;76.9;60.3;39.9;18.7;26.9;17.2;4.9;1.7;16.6;62.4;71.0;68.2
% Humedad del suelo sobre la capacidad máxima;GUADALQUIVIR;74.5;60.0;42.1;20.1;30.5;18.8;6.1;2.4;11.6;46.5;52.3;53.4
% Humedad del suelo sobre la capacidad máxima;SUR;53.5;45.4;27.5;12.3;44.3;16.0;5.0;1.8;8.7;22.8;17.2;17.6
% Humedad del suelo sobre la capacidad máxima;SEGURA;22.4;23.4;15.5;9.0;49.2;32.9;13.1;6.3;14.8;12.7;10.8;10.0
% Humedad del suelo sobre la capacidad máxima;JÚCAR;54.6;52.2;34.2;19.8;43.4;35.8;16.9;9.8;30.1;28.0;27.0;25.6
% Humedad del suelo sobre la capacidad máxima;EBRO;67.9;68.4;49.3;35.7;36.3;47.4;28.6;19.1;33.3;49.2;56.4;55.3
