Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PRINCIPADO DE ASTURIAS;97.6;97.7;59.1;53.6;58.5;66.5;19.9;54.4;62.8;98.9;100.0;96.7
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE BALEARES;83.1;98.3;37.6;14.3;27.7;8.7;1.1;56.5;44.1;46.4;34.0;27.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;98.9;98.7;60.7;52.3;69.6;72.9;33.7;62.9;56.0;93.3;100.0;94.1
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE CEUTA;96.9;92.5;36.3;7.1;32.1;23.1;1.7;0.7;1.3;58.9;28.9;56.4
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;89.3;91.7;42.0;24.7;33.9;48.8;11.3;2.0;40.9;74.7;90.1;81.7
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD DE MADRID;79.5;49.5;28.8;7.2;54.8;23.6;1.7;0.7;54.4;98.4;100.0;86.3
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE MELILLA;43.7;61.5;15.3;2.5;30.5;4.7;0.5;0.5;15.7;16.7;7.6;5.3
% Humedad del suelo sobre una capacidad de 75 mm;REGIÓN DE MURCIA;15.5;19.6;5.6;2.4;87.6;19.3;2.4;2.9;14.4;6.7;3.3;2.8
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD FORAL DE NAVARRA;89.1;87.6;53.6;44.7;48.4;55.3;22.9;29.1;59.6;90.5;93.9;88.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;38.8;44.9;11.2;3.1;1.7;4.1;0.8;0.9;3.7;14.5;32.3;32.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;67.9;43.6;19.5;3.6;41.9;10.3;0.9;0.5;12.7;67.2;62.8;56.4
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;70.1;63.6;25.3;11.1;31.7;40.8;12.8;7.2;30.5;50.8;53.6;47.2
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;74.4;47.1;20.3;4.8;57.9;22.8;1.6;0.7;30.8;69.5;71.7;62.8
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;91.3;76.9;47.1;19.3;36.4;31.5;4.8;2.4;42.8;96.8;99.7;94.8
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;66.0;79.2;35.5;26.7;47.2;50.5;17.9;27.6;37.7;44.7;41.7;37.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;79.2;44.5;24.5;6.7;41.7;8.8;0.8;0.5;24.9;97.6;99.5;85.6
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE GALICIA;94.7;85.5;86.1;69.9;55.2;48.3;18.4;16.4;72.4;100.0;100.0;99.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;99.3;97.7;62.1;56.9;55.5;72.7;29.6;56.5;63.6;93.9;100.0;96.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNITAT VALENCIANA;40.8;46.4;13.5;4.7;69.3;25.1;5.3;8.7;41.6;18.5;10.3;7.7
