Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PIRINEO ORIENTAL;28.1;34.9;70.8;94.1;113.0;127.1;156.8;143.2;94.2;63.3;38.5;26.9;990.9
Evapotranspiración de referencia;NORTE Y NOROESTE;18.6;31.1;56.5;77.5;96.4;105.6;114.9;108.9;73.7;52.9;23.2;17.9;777.2
Evapotranspiración de referencia;DUERO;17.8;31.3;66.2;103.5;115.1;132.8;177.9;166.6;89.3;58.2;22.3;13.3;994.3
Evapotranspiración de referencia;TAJO;26.1;41.5;78.1;127.9;135.6;155.1;213.0;196.5;99.1;64.9;27.9;18.4;1184.1
Evapotranspiración de referencia;GUADIANA;28.1;47.2;85.5;140.8;147.3;172.4;227.8;207.0;111.5;74.8;33.4;21.7;1297.5
Evapotranspiración de referencia;GUADALQUIVIR;32.1;52.2;90.0;142.8;145.9;173.2;220.8;205.0;116.7;80.9;40.6;28.0;1328.2
Evapotranspiración de referencia;SUR;42.9;52.9;102.9;138.3;130.6;163.0;199.6;186.0;110.9;82.1;56.8;41.7;1307.7
Evapotranspiración de referencia;SEGURA;43.5;42.7;103.0;138.8;122.5;153.5;195.5;184.0;103.8;80.3;58.7;42.4;1268.7
Evapotranspiración de referencia;JÚCAR;35.4;38.4;92.8;123.4;119.1;141.4;183.8;174.4;95.2;73.2;47.4;34.1;1158.6
Evapotranspiración de referencia;EBRO;25.3;32.9;77.3;104.1;119.7;130.0;167.6;162.7;96.0;64.3;34.8;22.7;1037.4
