Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PIRINEO ORIENTAL;9.9;49.7;5.9;29.3;77.7;78.0;20.2;40.1;52.3;26.0;12.6;9.3;411.0
Precipitación;NORTE Y NOROESTE;271.6;40.7;79.8;60.0;73.3;108.8;20.0;47.5;101.5;256.4;257.0;147.3;1463.9
Precipitación;DUERO;67.0;13.9;26.7;11.2;43.5;80.9;4.5;1.7;86.6;132.5;85.8;34.9;589.2
Precipitación;TAJO;49.6;3.9;25.6;7.3;67.0;62.3;1.5;0.2;95.0;167.2;94.6;27.6;601.8
Precipitación;GUADIANA;25.0;5.6;10.3;4.7;49.8;42.4;0.5;0.2;54.8;108.6;47.5;16.1;365.5
Precipitación;GUADALQUIVIR;29.2;11.3;18.1;2.3;60.1;40.1;0.3;0.3;40.7;85.0;34.3;22.6;344.3
Precipitación;SUR;18.7;25.6;10.9;0.4;86.4;18.3;2.9;0.4;31.3;38.2;3.8;11.1;248.0
Precipitación;SEGURA;7.3;15.6;4.8;4.0;121.3;48.4;4.1;4.0;42.4;10.5;3.4;4.0;269.8
Precipitación;JÚCAR;14.3;21.0;4.2;3.9;89.1;64.1;12.2;7.9;77.4;21.1;13.5;7.3;336.0
Precipitación;EBRO;55.3;27.5;10.7;19.5;49.6;104.4;26.8;15.7;71.9;72.6;63.8;26.2;544.0
