Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;A CORUÑA;94.9;88.7;90.7;81.7;43.2;51.5;31.5;27.6;80.8;100.0;100.0;99.7
% Humedad del suelo sobre una capacidad de 75 mm;ALBACETE;53.5;36.8;12.0;2.3;82.7;26.1;1.7;0.8;24.9;31.7;25.3;23.5
% Humedad del suelo sobre una capacidad de 75 mm;ALICANTE/ALACANT;34.0;32.3;9.1;2.1;87.2;18.7;2.7;4.4;26.9;10.3;4.7;3.6
% Humedad del suelo sobre una capacidad de 75 mm;ALMERIA;30.3;19.3;5.3;1.5;75.1;12.1;2.1;0.7;11.3;13.2;6.1;4.5
% Humedad del suelo sobre una capacidad de 75 mm;ARABA/ALAVA;98.8;97.7;55.3;39.9;41.2;61.9;22.8;20.5;49.9;91.3;100.0;95.5
% Humedad del suelo sobre una capacidad de 75 mm;ASTURIAS;97.6;97.7;59.1;53.6;58.5;66.5;19.9;54.4;62.8;98.9;100.0;96.7
% Humedad del suelo sobre una capacidad de 75 mm;AVILA;89.3;65.7;42.1;11.9;70.0;26.4;2.4;0.7;44.4;98.7;100.0;88.4
% Humedad del suelo sobre una capacidad de 75 mm;BADAJOZ;78.7;44.3;20.4;5.3;23.9;5.1;0.7;0.5;17.3;96.4;98.9;84.4
% Humedad del suelo sobre una capacidad de 75 mm;ILLES BALEARS;83.1;98.3;37.6;14.3;27.7;8.7;1.1;56.5;44.1;46.4;34.0;27.3
% Humedad del suelo sobre una capacidad de 75 mm;BARCELONA;56.1;80.5;32.7;31.2;54.9;54.7;12.8;35.1;40.4;42.8;33.9;30.1
% Humedad del suelo sobre una capacidad de 75 mm;BIZKAIA;100.0;97.1;63.7;61.5;68.1;79.6;30.3;80.5;75.2;95.2;100.0;97.9
% Humedad del suelo sobre una capacidad de 75 mm;BURGOS;95.3;87.5;48.1;26.1;32.1;43.5;9.3;6.0;26.0;93.9;99.6;95.5
% Humedad del suelo sobre una capacidad de 75 mm;CACERES;79.9;44.8;29.1;8.0;61.5;12.9;0.9;0.5;33.2;98.9;100.0;87.1
% Humedad del suelo sobre una capacidad de 75 mm;CADIZ;77.3;50.0;28.5;5.2;18.5;4.0;0.7;0.5;18.0;77.6;69.2;59.6
% Humedad del suelo sobre una capacidad de 75 mm;CANTABRIA;98.9;98.7;60.7;52.3;69.6;72.9;33.7;62.9;56.0;93.3;100.0;94.1
% Humedad del suelo sobre una capacidad de 75 mm;CASTELLON/CASTELLÓ;43.1;56.1;18.1;9.2;64.7;32.4;9.3;14.0;52.5;25.1;14.5;11.9
% Humedad del suelo sobre una capacidad de 75 mm;CEUTA;96.9;92.5;36.3;7.1;32.1;23.1;1.7;0.7;1.3;58.9;28.9;56.4
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD REAL;78.1;46.3;17.5;2.9;60.0;15.6;0.7;0.5;24.7;71.3;74.3;65.5
% Humedad del suelo sobre una capacidad de 75 mm;CORDOBA;76.5;49.7;22.3;3.5;34.9;8.5;0.7;0.5;17.1;85.9;89.6;77.3
% Humedad del suelo sobre una capacidad de 75 mm;CUENCA;81.3;50.7;21.6;4.8;42.0;25.6;2.1;0.7;31.7;66.7;73.3;64.3
% Humedad del suelo sobre una capacidad de 75 mm;GIPUZKOA;99.7;98.3;71.1;77.9;63.5;81.6;39.5;85.2;71.6;96.0;100.0;97.9
% Humedad del suelo sobre una capacidad de 75 mm;GIRONA;70.5;85.5;44.8;44.3;54.3;48.5;15.9;49.2;48.1;34.1;37.2;38.9
% Humedad del suelo sobre una capacidad de 75 mm;GRANADA;61.9;36.1;12.9;3.3;57.1;15.6;1.1;0.7;8.4;41.9;27.2;33.1
% Humedad del suelo sobre una capacidad de 75 mm;GUADALAJARA;86.0;62.4;38.1;12.4;31.2;30.1;2.7;0.8;43.6;95.1;98.5;85.3
% Humedad del suelo sobre una capacidad de 75 mm;HUELVA;70.1;48.9;21.6;4.5;21.5;6.7;0.7;0.5;10.5;95.6;97.5;76.8
% Humedad del suelo sobre una capacidad de 75 mm;HUESCA;84.1;83.5;39.2;19.9;46.7;52.4;24.4;17.9;38.7;70.9;74.3;63.5
% Humedad del suelo sobre una capacidad de 75 mm;JAEN;79.2;53.7;26.7;4.4;58.4;17.1;1.2;0.5;12.3;75.3;67.2;68.9
% Humedad del suelo sobre una capacidad de 75 mm;LA RIOJA;89.3;91.7;42.0;24.7;33.9;48.8;11.3;2.0;40.9;74.7;90.1;81.7
% Humedad del suelo sobre una capacidad de 75 mm;LAS PALMAS;15.3;25.1;5.3;1.5;0.9;1.2;0.7;0.5;1.6;8.1;10.1;18.1
% Humedad del suelo sobre una capacidad de 75 mm;LEON;93.3;81.9;58.8;29.2;28.9;36.9;7.1;5.5;62.9;99.9;100.0;98.3
% Humedad del suelo sobre una capacidad de 75 mm;LLEIDA;83.3;82.7;38.8;25.5;44.9;66.4;26.4;22.9;25.7;53.2;57.5;52.5
% Humedad del suelo sobre una capacidad de 75 mm;LUGO;96.9;94.1;82.3;68.9;46.4;48.7;12.9;12.8;70.5;100.0;100.0;99.9
% Humedad del suelo sobre una capacidad de 75 mm;MADRID;79.5;49.5;28.8;7.2;54.8;23.6;1.7;0.7;54.4;98.4;100.0;86.3
% Humedad del suelo sobre una capacidad de 75 mm;MALAGA;67.5;52.0;20.8;3.6;37.6;5.7;0.7;0.5;5.7;45.2;30.1;33.1
% Humedad del suelo sobre una capacidad de 75 mm;MELILLA;43.7;61.5;15.3;2.5;30.5;4.7;0.5;0.5;15.7;16.7;7.6;5.3
% Humedad del suelo sobre una capacidad de 75 mm;MURCIA;15.5;19.6;5.6;2.4;87.6;19.3;2.4;2.9;14.4;6.7;3.3;2.8
% Humedad del suelo sobre una capacidad de 75 mm;NAVARRA;89.1;87.6;53.6;44.7;48.4;55.3;22.9;29.1;59.6;90.5;93.9;88.0
% Humedad del suelo sobre una capacidad de 75 mm;OURENSE;93.5;80.5;81.9;52.8;78.0;44.4;9.2;3.9;64.5;100.0;100.0;99.9
% Humedad del suelo sobre una capacidad de 75 mm;PALENCIA;93.5;84.1;47.6;21.7;18.9;34.5;4.9;1.3;39.5;94.5;100.0;98.3
% Humedad del suelo sobre una capacidad de 75 mm;PONTEVEDRA;91.3;68.8;93.2;78.0;58.5;47.6;22.5;24.9;74.0;100.0;100.0;99.7
% Humedad del suelo sobre una capacidad de 75 mm;SALAMANCA;89.1;66.7;47.1;17.2;54.7;19.9;1.6;0.7;35.5;98.5;100.0;94.8
% Humedad del suelo sobre una capacidad de 75 mm;SANTA CRUZ DE TENERIFE;66.9;68.9;18.3;4.9;2.5;7.7;1.2;1.5;6.1;22.1;58.8;49.1
% Humedad del suelo sobre una capacidad de 75 mm;SEGOVIA;92.5;73.9;42.5;14.3;43.2;25.6;2.8;0.7;47.9;98.5;100.0;91.2
% Humedad del suelo sobre una capacidad de 75 mm;SEVILLA;70.9;38.3;17.5;2.8;27.5;7.7;0.7;0.5;16.0;82.9;88.3;72.9
% Humedad del suelo sobre una capacidad de 75 mm;SORIA;87.9;82.8;41.2;16.8;27.2;47.7;7.7;1.1;42.3;97.5;98.9;87.3
% Humedad del suelo sobre una capacidad de 75 mm;TARRAGONA;40.4;65.1;23.9;6.9;35.3;16.8;9.5;7.3;47.9;40.0;25.2;18.4
% Humedad del suelo sobre una capacidad de 75 mm;TERUEL;63.1;53.9;19.6;6.8;32.9;41.9;6.4;2.7;25.6;28.7;33.1;31.7
