Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PRINCIPADO DE ASTURIAS;93.2;93.6;24.8;44.4;41.2;40.8;4.0;68.8;37.2;98.8;100.0;90.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE BALEARES;76.0;98.8;5.6;1.2;40.4;2.0;0.8;56.4;26.4;28.4;20.0;12.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;96.8;96.8;25.6;44.0;52.4;55.6;15.6;65.6;34.8;94.0;100.0;84.0
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE CEUTA;91.2;79.2;4.8;0.8;43.2;6.0;0.4;0.4;1.2;77.6;8.8;24.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;78.0;90.0;10.8;13.2;54.4;21.2;2.0;1.2;20.0;89.2;95.2;66.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD DE MADRID;51.6;15.2;6.4;1.6;80.4;4.8;0.4;0.4;21.6;95.6;100.0;65.2
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE MELILLA;72.0;72.8;1.2;0.8;43.6;0.8;0.4;0.4;4.4;18.0;2.4;3.6
% Humedad del suelo sobre una capacidad de 25 mm;REGIÓN DE MURCIA;7.6;16.4;0.8;4.8;88.0;2.8;0.8;6.0;6.8;3.2;1.6;1.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD FORAL DE NAVARRA;76.0;80.0;27.2;30.4;57.6;30.8;10.0;32.0;32.0;90.8;93.2;76.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;31.6;35.2;1.2;0.8;2.4;0.8;0.4;0.8;3.6;16.8;46.0;27.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;42.8;16.8;2.8;1.6;49.2;1.2;0.4;0.4;6.4;75.2;62.0;36.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;46.8;45.2;4.8;6.8;53.6;24.0;8.8;7.2;18.8;56.0;57.6;36.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;48.4;15.6;2.8;1.6;81.6;5.2;0.4;0.4;15.6;79.2;74.8;46.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;77.2;60.4;14.8;9.2;61.2;9.6;1.2;2.8;25.2;96.8;100.0;86.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;49.2;70.8;9.2;30.8;52.8;53.6;14.4;34.0;23.6;45.6;36.4;28.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;50.4;10.4;4.0;2.4;64.0;0.4;0.4;0.4;14.0;94.4;99.6;64.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE GALICIA;85.2;74.0;66.4;45.6;53.2;15.2;10.8;16.4;47.2;100.0;100.0;99.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;98.4;94.4;27.6;36.8;32.8;50.4;9.6;62.0;39.2;88.4;100.0;91.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNITAT VALENCIANA;16.8;24.0;1.2;4.4;69.2;9.6;1.2;12.8;18.8;6.4;3.2;3.6
