Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PIRINEO ORIENTAL;58.3;79.3;35.5;32.4;53.3;46.9;14.0;35.7;44.4;40.5;34.4;31.6
% Humedad del suelo sobre una capacidad de 75 mm;NORTE Y NOROESTE;96.3;90.5;76.0;64.4;57.2;57.7;21.6;35.1;69.3;98.7;100.0;98.4
% Humedad del suelo sobre una capacidad de 75 mm;DUERO;91.2;75.9;46.4;17.6;34.8;28.3;3.7;1.5;42.5;97.2;100.0;95.7
% Humedad del suelo sobre una capacidad de 75 mm;TAJO;80.1;50.0;30.0;8.3;56.8;21.3;1.6;0.7;39.7;96.7;98.7;85.1
% Humedad del suelo sobre una capacidad de 75 mm;GUADIANA;76.7;44.9;18.4;4.0;39.3;10.8;0.7;0.5;21.6;83.1;86.1;74.0
% Humedad del suelo sobre una capacidad de 75 mm;GUADALQUIVIR;73.3;45.3;21.1;3.7;41.7;11.1;0.8;0.5;13.6;73.6;71.6;65.2
% Humedad del suelo sobre una capacidad de 75 mm;SUR;50.8;36.3;13.6;2.4;53.2;9.1;1.5;0.5;8.8;34.7;20.1;19.6
% Humedad del suelo sobre una capacidad de 75 mm;SEGURA;24.4;24.9;8.3;2.7;88.3;24.1;2.4;2.1;17.3;13.3;9.6;8.4
% Humedad del suelo sobre una capacidad de 75 mm;JÚCAR;55.9;47.6;15.9;4.3;62.9;28.3;4.3;5.1;37.6;31.1;26.9;23.2
% Humedad del suelo sobre una capacidad de 75 mm;EBRO;77.5;75.3;34.5;20.3;35.9;47.3;16.1;12.4;34.9;62.7;66.5;59.9
