Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PRINCIPADO DE ASTURIAS;99.0;99.0;79.3;70.6;70.6;76.1;44.5;51.4;62.2;94.4;100.0;98.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE BALEARES;74.9;94.5;64.6;42.3;38.1;23.8;10.4;33.9;35.5;40.8;36.3;33.2
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANTABRIA;99.5;99.4;78.1;67.8;78.5;80.5;53.3;62.4;63.0;86.2;98.5;96.2
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE CEUTA;98.5;96.1;59.4;25.5;30.6;28.3;7.5;2.6;2.1;34.3;23.8;44.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE LA RIOJA;64.6;68.9;52.1;40.2;37.8;49.0;28.1;14.6;35.3;54.6;65.8;65.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD DE MADRID;82.5;65.7;49.1;24.1;39.8;30.9;8.6;2.7;52.8;92.2;96.8;91.4
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE MELILLA;29.7;44.3;21.5;8.4;21.7;8.5;2.2;0.7;14.8;15.4;10.1;8.2
% Humedad del suelo sobre la capacidad máxima;REGIÓN DE MURCIA;16.0;18.0;10.8;6.0;50.3;29.5;11.5;5.8;13.0;9.2;6.7;5.7
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD FORAL DE NAVARRA;82.8;83.1;68.9;60.9;55.8;62.8;43.5;37.9;62.9;79.3;85.0;84.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANARIAS;38.8;44.5;22.8;11.8;6.4;6.8;3.0;1.8;3.1;8.9;20.3;25.3
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;70.0;57.2;39.1;18.4;32.2;17.7;5.7;2.3;11.0;45.0;48.5;48.5
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ARAGÓN;61.4;59.9;40.3;25.6;28.4;41.1;23.1;13.5;27.2;39.8;45.0;43.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;71.7;59.0;41.3;22.1;38.1;29.8;10.5;4.5;24.4;50.3;58.4;57.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;93.4;85.2;67.6;42.0;40.7;40.8;17.0;8.5;34.4;78.8;92.3;92.8
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CATALUÑA;59.6;67.7;49.9;39.4;44.2;49.1;30.2;27.3;35.1;39.6;39.9;38.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE EXTREMADURA;85.3;64.0;45.8;21.1;31.3;16.1;4.0;1.2;18.7;84.3;91.1;86.1
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE GALICIA;97.6;92.4;93.3;82.7;69.4;67.8;39.7;28.7;63.6;100.0;100.0;99.9
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;97.5;97.1;81.8;76.3;73.0;81.8;56.5;60.1;68.3;84.9;96.5;96.5
% Humedad del suelo sobre la capacidad máxima;COMUNITAT VALENCIANA;45.7;49.6;30.9;18.2;49.1;35.3;18.1;12.0;34.4;25.0;19.5;16.8
